Gene_name,KO_annot
KLL01789.1,K07171 
KLL01851.1,K03664 
KLL02178.1,K02879 
KLL02426.1,K13993 
KLL02608.1,K07171 
KLL02615.1,K03168 
KLL02637.1,K07496 
KLL02711.1,K02503 
KLL02762.1,K07316 
KLL02762.1,K00571 
KLL02776.1,K03496 
KLL02790.1,K03427 
KLL02807.1,K21498 
KLL02826.1,K00554 
KLL02871.1,K01889 
KLL02872.1,K07584 
KLL02896.1,K01887 
KLL02950.1,K07171 
KLL02974.1,K03495 
KLL02991.1,K02931 
KLL02992.1,K01866 
KLL02994.1,K00560 
KLL03036.1,K02926 
KLL03074.1,K01409 
KLL03097.1,K07171 
KLL03116.1,K07171 
KLL03118.1,K03218 
KLL03119.1,K03703 
KLL03131.1,K09769 
KLL03133.1,K21064 
KLL03134.1,K07171 
KLL03138.1,K07171 
KLL03157.1,K02355 
KLL03160.1,K07171 
KLL03212.1,K07496 
KLL03237.1,K07171 
KLL03238.1,K01156 
KLL03277.1,K07171 
KLL03279.1,K07171 
KLL03298.1,K03470 
KLL03299.1,K01892 
KLL03320.1,K07171 
KLL03345.1,K01426 
KLL03347.1,K07494 
KLL03351.1,K01156 
KLL03431.1,K06218 
KLL03503.1,K06218 
KLL03732.1,K07171 
KLL03743.1,K07171 
KLL03748.1,K07496 
KLL03749.1,K07496 
KLL03751.1,K06223 
KLL03751.1,K01155 
KLL03795.1,K21498 
KLL03841.1,K01972 
KLL03908.1,K03427 
KLL03909.1,K01153 
KLL03911.1,K09760 
KLL03951.1,K02358 
KLL03956.1,K03685 
KLL04003.1,K02876 
KLL04009.1,K21498 
KLL04010.1,K07334 
KLL04118.1,K07171 
KLL04128.1,K01868 
KLL04135.1,K01874 
KLL04143.1,K00566 
KLL04243.1,K02863 
KLL04245.1,K03763 
KLL04245.1,K02342 
KLL04246.1,K03657 
KLL04250.1,K06223 
KLL04250.1,K01155 
KLL04253.1,K01867 
KLL04261.1,K07341 
KLL04263.1,K07171 
KLL04280.1,K07171 
KLL04400.1,K00525 
KLL04408.1,K00940 
KLL04410.1,K02316 
KLL04415.1,K03151 
KLL04452.1,K07488 
KLL04453.1,K18554 
KLL04468.1,K01869 
KLL04470.1,K06218 
KLL04472.1,K06925 
KLL04475.1,K02520 
KLL04480.1,K02990 
KLL04482.1,K02963 
KLL04484.1,K02939 
KLL04488.1,K02933 
KLL04507.1,K07488 
KLL04509.1,K07171 
KLL04525.1,K12574 
KLL04529.1,K04564 
KLL04530.1,K07496 
KLL04534.1,K02834 
KLL04543.1,K02967 
KLL04579.1,K07488 
KLL04584.1,K07171 
KLL04587.1,K01870 
KLL04589.1,K01156 
KLL04590.1,K07171 
KLL04625.1,K01872 
KLL04627.1,K03427 
KLL04639.1,K03763 
KLL04642.1,K01493 
KLL04644.1,K01056 
KLL04645.1,K13281 
KLL04647.1,K02874 
KLL04652.1,K03648 
KLL04655.1,K03652 
KLL04658.1,K01873 
KLL04661.1,K03650 
KLL04662.1,K00600 
KLL04675.1,K06218 
KLL04679.1,K07316 
KLL04684.1,K01885 
KLL04690.1,K02899 
KLL04743.1,K07316 
KLL04744.1,K01156 
KLL04745.1,K07341 
KLL04772.1,K07496 
KLL04785.1,K00384 
KLL04843.1,K18626 
KLL04848.1,K01153 
KLL04883.1,K21498 
KLL04894.1,K07171 
KLL04900.1,K00943 
KLL04900.1,K03574 
KLL04912.1,K01876 
KLL04914.1,K02950 
KLL04915.1,K09951 
KLL04916.1,K15342 
KLL04917.1,K09952 
KLL04924.1,K06218 
KLL04938.1,K02864 
KLL04939.1,K02935 
KLL04940.1,K03043 
KLL04941.1,K03046 
KLL04943.1,K02892 
KLL04948.1,K09769 
KLL04950.1,K21064 
KLL04952.1,K07171 
KLL04986.1,K07171 
KLL04990.1,K07171 
KLL04993.1,K07171 
KLL04996.1,K07496 
KLL05008.1,K07171 
KLL05034.1,K07496 
KLL05036.1,K01156 
KLL05037.1,K07171 
KLL05044.1,K07496 
KLL05046.1,K18682 
KLL05050.1,K01872 
KLL05052.1,K02503 
KLL05053.1,K02959 
KLL05056.1,K00962 
KLL05058.1,K02871 
KLL05059.1,K02906 
KLL05069.1,K01890 
KLL05070.1,K03799 
KLL05072.1,K02911 
KLL05073.1,K07584 
KLL05082.1,K00554 
KLL05087.1,K10563 
