Gene_name,KO_annot
KLL02413.1,K21498 
KLL02727.1,K01151 
KLL02730.1,K01872 
KLL02769.1,K01875 
KLL02771.1,K02956 
KLL02787.1,K07488 
KLL02842.1,K03702 
KLL02852.1,K01156 
KLL02856.1,K07316 
KLL02892.1,K21498 
KLL02921.1,K02886 
KLL02955.1,K02916 
KLL02956.1,K02520 
KLL02957.1,K18554 
KLL02979.1,K02871 
KLL03028.1,K07171 
KLL03049.1,K01887 
KLL03062.1,K01869 
KLL03064.1,K02887 
KLL03067.1,K02926 
KLL03069.1,K04075 
KLL03080.1,K07494 
KLL03105.1,K07171 
KLL03112.1,K03763 
KLL03112.1,K02342 
KLL03112.1,K09951 
KLL03123.1,K04564 
KLL03127.1,K00566 
KLL03130.1,K04564 
KLL03144.1,K06881 
KLL03145.1,K02888 
KLL03146.1,K02316 
KLL03148.1,K07052 
KLL03151.1,K03495 
KLL03152.1,K02863 
KLL03155.1,K03070 
KLL03167.1,K06934 
KLL03175.1,K07052 
KLL03176.1,K02959 
KLL03177.1,K02913 
KLL03179.1,K02986 
KLL03198.1,K02986 
KLL03226.1,K07042 
KLL03229.1,K00943 
KLL03241.1,K01866 
KLL03245.1,K03702 
KLL03246.1,K03424 
KLL03247.1,K02864 
KLL03254.1,K07494 
KLL03288.1,K18626 
KLL03292.1,K07171 
KLL03303.1,K02434 
KLL03305.1,K03495 
KLL03312.1,K03438 
KLL03361.1,K07494 
KLL03380.1,K02931 
KLL03381.1,K02982 
KLL03382.1,K02890 
KLL03406.1,K00600 
KLL03409.1,K03979 
KLL03414.1,K02919 
KLL03415.1,K00560 
KLL03418.1,K01880 
KLL03425.1,K07171 
KLL03452.1,K02939 
KLL03455.1,K00962 
KLL03487.1,K02967 
KLL03488.1,K02874 
KLL03493.1,K02884 
KLL03494.1,K00287 
KLL03496.1,K07584 
KLL03526.1,K01873 
KLL03529.1,K02909 
KLL03531.1,K02911 
KLL03537.1,K01426 
KLL03541.1,K07171 
KLL03591.1,K07171 
KLL03662.1,K01887 
KLL03665.1,K03657 
KLL03666.1,K01972 
KLL03706.1,K02968 
KLL03708.1,K01881 
KLL03714.1,K02967 
KLL03715.1,K02874 
KLL03720.1,K02884 
KLL03721.1,K00287 
KLL03725.1,K00029 
KLL03728.1,K01992 
KLL03805.1,K01151 
KLL03811.1,K01872 
KLL03815.1,K03652 
KLL03823.1,K02879 
KLL03825.1,K01507 
KLL03827.1,K02914 
KLL03829.1,K01885 
KLL03832.1,K06934 
KLL03835.1,K13993 
KLL03893.1,K01409 
KLL03895.1,K02834 
KLL03896.1,K02519 
KLL03897.1,K02600 
KLL03898.1,K01873 
KLL03916.1,K07171 
KLL03923.1,K01880 
KLL03926.1,K00560 
KLL03927.1,K02919 
KLL03932.1,K03979 
KLL03935.1,K00600 
KLL03949.1,K00945 
KLL03968.1,K12574 
KLL03972.1,K02838 
KLL03973.1,K01890 
KLL03983.1,K00600 
KLL03993.1,K21498 
KLL03996.1,K11754 
KLL03997.1,K01890 
KLL03999.1,K01866 
KLL04017.1,K01868 
KLL04018.1,K07341 
KLL04027.1,K01874 
KLL04030.1,K06925 
KLL04032.1,K03977 
KLL04033.1,K00029 
KLL04039.1,K02913 
KLL04040.1,K02959 
KLL04041.1,K07052 
KLL04044.1,K02600 
KLL04045.1,K02519 
KLL04046.1,K02834 
KLL04048.1,K01409 
KLL04053.1,K02899 
KLL04085.1,K01992 
KLL04088.1,K02931 
KLL04090.1,K21064 
KLL04093.1,K12574 
KLL04094.1,K02835 
KLL04102.1,K02867 
KLL04105.1,K03799 
KLL04107.1,K01893 
KLL04108.1,K00526 
KLL04193.1,K07171 
KLL04211.1,K07171 
KLL04282.1,K01056 
KLL04284.1,K03168 
KLL04285.1,K00857 
KLL04287.1,K09769 
KLL04293.1,K07171 
KLL04296.1,K07171 
KLL04306.1,K07171 
KLL04311.1,K07171 
KLL04320.1,K01154 
KLL04321.1,K01154 
KLL04322.1,K03427 
KLL04328.1,K07171 
KLL04336.1,K03427 
KLL04337.1,K01154 
KLL04338.1,K01154 
KLL04347.1,K07171 
KLL04352.1,K07171 
KLL04362.1,K07171 
KLL04365.1,K07171 
KLL04371.1,K09769 
KLL04373.1,K00857 
KLL04374.1,K03168 
KLL04376.1,K01056 
KLL04377.1,K10563 
KLL04379.1,K03703 
