# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* KLL02413.1          K21498   47.93   94.6   3.5e-28 antitoxin HigA-1
* KLL02727.1          K01151  122.83  308.5   3.8e-93 deoxyribonuclease IV [EC:3.1.21.2]
* KLL02730.1          K01872  198.30  262.0   7.4e-79 alanyl-tRNA synthetase [EC:6.1.1.7]
* KLL02769.1          K01875   76.07  385.7  1.9e-116 seryl-tRNA synthetase [EC:6.1.1.11]
* KLL02771.1          K02956   32.03   70.9   8.2e-21 small subunit ribosomal protein S15
* KLL02787.1          K07488   43.87  117.4   4.6e-35 transposase
* KLL02842.1          K03702  143.73  925.6  3.4e-279 excinuclease ABC subunit B
* KLL02852.1          K01156  140.97  188.5   1.4e-56 type III restriction enzyme [EC:3.1.21.5]
* KLL02856.1          K07316  209.03  366.5  1.7e-110 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* KLL02892.1          K21498   47.93   96.9     7e-29 antitoxin HigA-1
* KLL02921.1          K02886  162.97  322.6   2.7e-97 large subunit ribosomal protein L2
* KLL02955.1          K02916   22.97   63.8   1.3e-18 large subunit ribosomal protein L35
* KLL02956.1          K02520   51.07  126.3     1e-37 translation initiation factor IF-3
* KLL02957.1          K18554  117.60  146.5   5.3e-44 chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]
* KLL02979.1          K02871   70.00  111.8   2.3e-33 large subunit ribosomal protein L13
* KLL03028.1          K07171   19.37   71.5   4.7e-21 mRNA interferase MazF [EC:3.1.-.-]
* KLL03049.1          K01887   47.77  353.7  1.4e-106 arginyl-tRNA synthetase [EC:6.1.1.19]
* KLL03062.1          K01869  429.83  952.4  3.1e-287 leucyl-tRNA synthetase [EC:6.1.1.4]
* KLL03064.1          K02887   55.13  133.4   5.9e-40 large subunit ribosomal protein L20
* KLL03067.1          K02926   76.47  225.2   9.7e-68 large subunit ribosomal protein L4
* KLL03069.1          K04075  115.90  197.8   2.1e-59 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
* KLL03080.1          K07494   74.50   94.8   4.4e-28 putative transposase
