Gene_name,KO_annot
RHZ35175.1,K03763 
RHZ35186.1,K02884 
RHZ35187.1,K01885 
RHZ35197.1,K18682 
RHZ35203.1,K01889 
RHZ35219.1,K02968 
RHZ35224.1,K01866 
RHZ35225.1,K02990 
RHZ35227.1,K02963 
RHZ35231.1,K02956 
RHZ35232.1,K02939 
RHZ35233.1,K01874 
RHZ35238.1,K02906 
RHZ35239.1,K06925 
RHZ35244.1,K02899 
RHZ35247.1,K02887 
RHZ35249.1,K01872 
RHZ35250.1,K01867 
RHZ35251.1,K02434 
RHZ35266.1,K02959 
RHZ35269.1,K02876 
RHZ35270.1,K02871 
RHZ35273.1,K02967 
RHZ35284.1,K03168 
RHZ35287.1,K02913 
RHZ35291.1,K03763 
RHZ35291.1,K02342 
RHZ35291.1,K09951 
RHZ35300.1,K03547 
RHZ35303.1,K02996 
RHZ35304.1,K02954 
RHZ35305.1,K03470 
RHZ35320.1,K03495 
RHZ35324.1,K01426 
RHZ35331.1,K13993 
RHZ35335.1,K01151 
RHZ35336.1,K01972 
RHZ35341.1,K01872 
RHZ35362.1,K02926 
RHZ35363.1,K01409 
RHZ35366.1,K01870 
RHZ35367.1,K12574 
RHZ35371.1,K03687 
RHZ35374.1,K03320 
RHZ35375.1,K02952 
RHZ35377.1,K02992 
RHZ35379.1,K01890 
RHZ35383.1,K00384 
RHZ35385.1,K19221 
RHZ35388.1,K02874 
RHZ35390.1,K01876 
RHZ35396.1,K00962 
RHZ35397.1,K03424 
RHZ35399.1,K01255 
RHZ35400.1,K02950 
RHZ35406.1,K01507 
RHZ35407.1,K02986 
RHZ35411.1,K00940 
RHZ35414.1,K03652 
RHZ35417.1,K03702 
RHZ35423.1,K00525 
RHZ35427.1,K02994 
RHZ35430.1,K01873 
RHZ35431.1,K01883 
RHZ35434.1,K00857 
RHZ35437.1,K03070 
RHZ35440.1,K01881 
RHZ35445.1,K00554 
RHZ35448.1,K02892 
RHZ35449.1,K02520 
RHZ35452.1,K02886 
RHZ35455.1,K03151 
RHZ35461.1,K02864 
RHZ35464.1,K02355 
RHZ35465.1,K03046 
