# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* JILDAGCH_00002      K06218   35.80   57.8   5.3e-17 mRNA interferase RelE/StbE
* JILDAGCH_00007      K06218   35.80   58.3   3.8e-17 mRNA interferase RelE/StbE
* JILDAGCH_00019      K07171   19.37   65.5   1.3e-19 mRNA interferase MazF [EC:3.1.-.-]
* JILDAGCH_00029      K03470  129.20  228.6   2.8e-69 ribonuclease HII [EC:3.1.26.4]
* JILDAGCH_00030      K01875   76.07  373.6  3.2e-113 seryl-tRNA synthetase [EC:6.1.1.11]
* JILDAGCH_00033      K00940  131.40  165.9   3.9e-50 nucleoside-diphosphate kinase [EC:2.7.4.6]
* JILDAGCH_00042      K01890  121.63  406.1  8.3e-123 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* JILDAGCH_00044      K03763  228.33  995.5    1e-300 DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
* JILDAGCH_00044      K09951   23.40   41.9   1.7e-12 CRISPR-associated protein Cas2
* JILDAGCH_00052      K03652   51.33  220.9   6.4e-67 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* JILDAGCH_00053      K01870  514.83  911.5  2.6e-275 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* JILDAGCH_00058      K02838   26.67   98.0   1.2e-29 ribosome recycling factor
* JILDAGCH_00063      K02835  355.80  408.8  1.2e-123 peptide chain release factor 1
* JILDAGCH_00065      K03070  152.83  706.2  1.6e-213 preprotein translocase subunit SecA [EC:7.4.2.8]
* JILDAGCH_00066      K07042   59.80  148.9   4.8e-45 probable rRNA maturation factor
* JILDAGCH_00072      K03979  160.43  423.5    3e-128 GTPase [EC:3.6.5.-]
* JILDAGCH_00073      K09769   82.67  318.0   9.3e-97 uncharacterized protein
* JILDAGCH_00075      K03685  157.10  198.5   4.9e-60 ribonuclease III [EC:3.1.26.3]
* JILDAGCH_00078      K04075  115.90  139.6   3.5e-42 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
* JILDAGCH_00079      K01885  303.63  488.7  8.1e-148 glutamyl-tRNA synthetase [EC:6.1.1.17]
* JILDAGCH_00081      K02914   18.57   26.0   1.4e-07 large subunit ribosomal protein L34
* JILDAGCH_00082      K06925   47.07   94.1   2.4e-28 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* JILDAGCH_00084      K03657  379.80  507.4  2.3e-153 DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
* JILDAGCH_00085      K02357  118.20  179.1   3.5e-54 elongation factor Ts
* JILDAGCH_00088      K03687   30.90  123.4   2.6e-37 molecular chaperone GrpE
* JILDAGCH_00095      K02990   23.27   47.2   5.3e-14 small subunit ribosomal protein S6
* JILDAGCH_00097      K02939   47.80   94.6   1.7e-28 large subunit ribosomal protein L9
* JILDAGCH_00100      K01151  122.83  277.7   3.1e-84 deoxyribonuclease IV [EC:3.1.21.2]
* JILDAGCH_00102      K01883  398.70  444.5  2.4e-134 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* JILDAGCH_00103      K01887   47.77  335.2  2.1e-101 arginyl-tRNA synthetase [EC:6.1.1.19]
* JILDAGCH_00106      K07447   35.13   70.4   4.1e-21 putative holliday junction resolvase [EC:3.1.-.-]
* JILDAGCH_00107      K01872  198.30  370.9  3.4e-112 alanyl-tRNA synthetase [EC:6.1.1.7]
* JILDAGCH_00109      K03424   88.03  269.6   1.1e-81 TatD DNase family protein [EC:3.1.21.-]
* JILDAGCH_00110      K03703  248.20  421.2  2.2e-127 excinuclease ABC subunit C
* JILDAGCH_00111      K10563  195.93  278.1   2.9e-84 formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
* JILDAGCH_00114      K01876  291.87  544.6    1e-164 aspartyl-tRNA synthetase [EC:6.1.1.12]
* JILDAGCH_00129      K21498   47.93   98.4   8.8e-30 antitoxin HigA-1
* JILDAGCH_00145      K07334   76.87  102.1     7e-31 toxin HigB-1
* JILDAGCH_00146      K21498   47.93   58.6   1.6e-17 antitoxin HigA-1
* JILDAGCH_00177      K07584   35.60   62.1   1.5e-18 uncharacterized protein
* JILDAGCH_00178      K02888   25.87   83.5   4.1e-25 large subunit ribosomal protein L21
* JILDAGCH_00181      K02968   35.03   64.0   3.8e-19 small subunit ribosomal protein S20
* JILDAGCH_00182      K00962  149.47  576.2  2.8e-174 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* JILDAGCH_00185      K01866   93.67  232.7   1.9e-70 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* JILDAGCH_00186      K01409   84.10  373.1  7.6e-113 N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
* JILDAGCH_00187      K02887   55.13  165.6   3.4e-50 large subunit ribosomal protein L20
* JILDAGCH_00189      K01874  236.63  517.7  1.5e-156 methionyl-tRNA synthetase [EC:6.1.1.10]
* JILDAGCH_00190      K03547   84.70   98.6   9.8e-30 DNA repair protein SbcD/Mre11
* JILDAGCH_00191      K02959   28.23  106.2   5.1e-32 small subunit ribosomal protein S16
* JILDAGCH_00192      K03438  118.37  380.7  2.8e-115 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
* JILDAGCH_00193      K02911   21.47   43.2   9.7e-13 large subunit ribosomal protein L32
* JILDAGCH_00194      K02967  138.30  259.3   1.2e-78 small subunit ribosomal protein S2
* JILDAGCH_00195      K01507   23.07  150.6   2.2e-45 inorganic pyrophosphatase [EC:3.6.1.1]
* JILDAGCH_00199      K18682  118.43  481.7  5.9e-146 ribonucrease Y [EC:3.1.-.-]
* JILDAGCH_00201      K02946   65.63   90.9   1.9e-27 small subunit ribosomal protein S10
* JILDAGCH_00202      K03168  435.60  496.6  4.2e-150 DNA topoisomerase I [EC:5.6.2.1]
* JILDAGCH_00204      K03650  167.93  444.0  2.9e-134 tRNA modification GTPase [EC:3.6.-.-]
* JILDAGCH_00205      K03536   19.73   63.2   7.1e-19 ribonuclease P protein component [EC:3.1.26.5]
* JILDAGCH_00207      K01056   46.53  218.1     4e-66 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
* JILDAGCH_00211      K02913   23.47   28.9   2.5e-08 large subunit ribosomal protein L33
* JILDAGCH_00212      K02434  265.63  312.6   1.6e-94 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* JILDAGCH_00213      K03664   28.77  138.6   5.3e-42 SsrA-binding protein
* JILDAGCH_00214      K02503   86.80  104.6   1.3e-31 histidine triad (HIT) family protein
* JILDAGCH_00216      K00554  127.83  268.9   1.7e-81 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* JILDAGCH_00217      K02986   77.73  196.2   1.7e-59 small subunit ribosomal protein S4
* JILDAGCH_00220      K12574  172.07  593.8  1.4e-179 ribonuclease J [EC:3.1.-.-]
* JILDAGCH_00222      K02956   32.03   60.2   5.6e-18 small subunit ribosomal protein S15
* JILDAGCH_00227      K01873  589.77  720.5    8e-218 valyl-tRNA synthetase [EC:6.1.1.9]
* JILDAGCH_00228      K04567  302.73  620.6    1e-187 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* JILDAGCH_00229      K02950   85.93  188.0   7.1e-57 small subunit ribosomal protein S12
* JILDAGCH_00230      K02992  105.13  160.7     8e-49 small subunit ribosomal protein S7
* JILDAGCH_00231      K02355  515.13  994.7  1.3e-300 elongation factor G
* JILDAGCH_00236      K01881  159.03  279.6   9.7e-85 prolyl-tRNA synthetase [EC:6.1.1.15]
* JILDAGCH_00240      K13993   74.27  104.9   1.1e-31 HSP20 family protein
* JILDAGCH_00241      K01880  107.30  287.0   8.7e-87 glycyl-tRNA synthetase [EC:6.1.1.14]
* JILDAGCH_00243      K02358  348.87  705.0  4.1e-213 elongation factor Tu
* JILDAGCH_00259      K02906  123.00  264.8   3.9e-80 large subunit ribosomal protein L3
