Gene_name,KO_annot
OKFPLJJI_00012,K01874 
OKFPLJJI_00014,K03177 
OKFPLJJI_00018,K03652 
OKFPLJJI_00020,K04567 
OKFPLJJI_00024,K01872 
OKFPLJJI_00025,K02916 
OKFPLJJI_00029,K01265 
OKFPLJJI_00030,K02967 
OKFPLJJI_00032,K02835 
OKFPLJJI_00036,K03763 
OKFPLJJI_00117,K01771 
OKFPLJJI_00123,K02863 
OKFPLJJI_00128,K02939 
OKFPLJJI_00133,K01870 
OKFPLJJI_00141,K03046 
OKFPLJJI_00142,K03043 
OKFPLJJI_00143,K02935 
OKFPLJJI_00144,K02864 
OKFPLJJI_00153,K02887 
OKFPLJJI_00156,K02913 
OKFPLJJI_00158,K07488 
OKFPLJJI_00161,K03151 
OKFPLJJI_00162,K02968 
OKFPLJJI_00164,K00962 
OKFPLJJI_00165,K00962 
OKFPLJJI_00176,K03151 
OKFPLJJI_00177,K02968 
OKFPLJJI_00179,K00962 
OKFPLJJI_00190,K01507 
OKFPLJJI_00192,K02950 
OKFPLJJI_00194,K02316 
OKFPLJJI_00195,K01876 
OKFPLJJI_00204,K02931 
OKFPLJJI_00207,K02874 
OKFPLJJI_00210,K02878 
OKFPLJJI_00211,K02982 
OKFPLJJI_00212,K02890 
OKFPLJJI_00213,K02965 
OKFPLJJI_00214,K02886 
OKFPLJJI_00217,K02926 
OKFPLJJI_00227,K07171 
OKFPLJJI_00231,K07171 
OKFPLJJI_00248,K07171 
OKFPLJJI_00251,K02871 
OKFPLJJI_00252,K02996 
OKFPLJJI_00255,K01869 
OKFPLJJI_00258,K02600 
OKFPLJJI_00259,K02519 
OKFPLJJI_00260,K02834 
OKFPLJJI_00265,K07494 
OKFPLJJI_00271,K02434 
OKFPLJJI_00273,K01883 
OKFPLJJI_00274,K01893 
OKFPLJJI_00275,K01873 
OKFPLJJI_00276,K01972 
OKFPLJJI_00281,K02959 
OKFPLJJI_00283,K02867 
OKFPLJJI_00295,K03648 
OKFPLJJI_00297,K01867 
OKFPLJJI_00301,K02956 
OKFPLJJI_00304,K02879 
OKFPLJJI_00305,K03040 
OKFPLJJI_00306,K02948 
OKFPLJJI_00307,K02952 
OKFPLJJI_00308,K04564 
OKFPLJJI_00310,K03536 
OKFPLJJI_00311,K02914 
OKFPLJJI_00313,K01885 
OKFPLJJI_00316,K07171 
OKFPLJJI_00321,K07171 
OKFPLJJI_00324,K07171 
OKFPLJJI_00325,K21498 
OKFPLJJI_00332,K07171 
OKFPLJJI_00349,K02909 
OKFPLJJI_00395,K18626 
OKFPLJJI_00433,K01887 
OKFPLJJI_00446,K03470 
OKFPLJJI_00447,K03664 
OKFPLJJI_00448,K02358 
OKFPLJJI_00449,K02355 
OKFPLJJI_00454,K22422 
OKFPLJJI_00486,K01047 
OKFPLJJI_00510,K01875 
OKFPLJJI_00514,K01892 
OKFPLJJI_00516,K03977 
OKFPLJJI_00525,K06925 
OKFPLJJI_00532,K09769 
OKFPLJJI_00533,K01880 
OKFPLJJI_00535,K03553 
OKFPLJJI_00538,K04075 
OKFPLJJI_00541,K03685 
OKFPLJJI_00547,K03424 
OKFPLJJI_00550,K03703 
OKFPLJJI_00556,K03650 
OKFPLJJI_00578,K03687 
OKFPLJJI_00582,K02954 
OKFPLJJI_00583,K02994 
OKFPLJJI_00584,K02933 
OKFPLJJI_00585,K02881 
OKFPLJJI_00587,K02876 
OKFPLJJI_00590,K01409 
OKFPLJJI_00592,K02911 
OKFPLJJI_00594,K07584 
OKFPLJJI_00595,K02838 
OKFPLJJI_00621,K01890 
OKFPLJJI_00651,K01868 
OKFPLJJI_00652,K02520 
OKFPLJJI_00653,K00384 
OKFPLJJI_00656,K07171 
OKFPLJJI_00662,K06218 
OKFPLJJI_00668,K03070 
OKFPLJJI_00670,K03168 
OKFPLJJI_00671,K01881 
OKFPLJJI_00673,K02503 
OKFPLJJI_00676,K02916 
OKFPLJJI_00686,K02906 
OKFPLJJI_00689,K03702 
OKFPLJJI_00693,K03799 
OKFPLJJI_00694,K03763 
OKFPLJJI_00694,K02342 
OKFPLJJI_00697,K13993 
OKFPLJJI_00700,K10563 
OKFPLJJI_00702,K01151 
OKFPLJJI_00706,K01255 
OKFPLJJI_00708,K00566 
OKFPLJJI_00725,K00554 
OKFPLJJI_00732,K03438 
OKFPLJJI_00738,K03495 
OKFPLJJI_00740,K01056 
OKFPLJJI_00741,K03218 
OKFPLJJI_00750,K00940 
OKFPLJJI_00764,K07171 
OKFPLJJI_00776,K02884 
OKFPLJJI_00777,K01426 
OKFPLJJI_00778,K02888 
OKFPLJJI_00779,K01889 
OKFPLJJI_00780,K03657 
OKFPLJJI_00787,K12574 
OKFPLJJI_00790,K02986 
OKFPLJJI_00793,K07488 
OKFPLJJI_00798,K07171 
OKFPLJJI_00917,K07334 
OKFPLJJI_00918,K21498 
OKFPLJJI_00930,K06218 
OKFPLJJI_00931,K06218 
OKFPLJJI_00946,K07171 
OKFPLJJI_00971,K07171 
OKFPLJJI_00974,K07171 
OKFPLJJI_00982,K03652 
OKFPLJJI_00984,K04567 
OKFPLJJI_00989,K03070 
OKFPLJJI_00991,K03168 
OKFPLJJI_00992,K01881 
OKFPLJJI_01004,K03496 
OKFPLJJI_01008,K07494 
OKFPLJJI_01016,K09760 
OKFPLJJI_01017,K01156 
OKFPLJJI_01018,K07316 
OKFPLJJI_01033,K03043 
OKFPLJJI_01035,K02935 
OKFPLJJI_01036,K02864 
OKFPLJJI_01041,K02992 
OKFPLJJI_01042,K02887 
OKFPLJJI_01045,K02913 
OKFPLJJI_01047,K07488 
OKFPLJJI_01076,K07488 
OKFPLJJI_01085,K07171 
OKFPLJJI_01092,K01874 
OKFPLJJI_01094,K01507 
OKFPLJJI_01102,K01866 
OKFPLJJI_01103,K00962 
OKFPLJJI_01104,K00962 
OKFPLJJI_01106,K02968 
OKFPLJJI_01107,K03151 
OKFPLJJI_01110,K07488 
OKFPLJJI_01114,K18682 
OKFPLJJI_01118,K07171 
OKFPLJJI_01159,K02503 
OKFPLJJI_01160,K02916 
OKFPLJJI_01168,K02899 
OKFPLJJI_01174,K03702 
OKFPLJJI_01178,K03652 
OKFPLJJI_01182,K03177 
OKFPLJJI_01184,K01874 
OKFPLJJI_01190,K07171 
OKFPLJJI_01192,K18682 
OKFPLJJI_01195,K07488 
OKFPLJJI_01206,K06218 
OKFPLJJI_01209,K09760 
OKFPLJJI_01214,K15255 
OKFPLJJI_01258,K07171 
OKFPLJJI_01260,K06218 
