# gene name                          KO     thrshld  score   E-value KO definition
#----------------------------------- ------ ------- ------ --------- ---------------------
  lcl|LN828718.1_prot_CFW92770.1_27  K04427  336.40  178.4   1.2e-54 mitogen-activated protein kinase kinase kinase 7 [EC:2.7.11.25]
  lcl|LN828718.1_prot_CFW92770.1_27  K17535  349.33  167.2     3e-51 serine/threonine-protein kinase TNNI3K [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K12132  236.97  138.8   8.9e-43 eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04447 1161.00  136.1   5.4e-42 Janus kinase 2 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K05111 1807.17  135.9   5.2e-42 Eph receptor B2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08286  403.83  134.6   1.5e-41 protein-serine/threonine kinase [EC:2.7.11.-]
  lcl|LN828718.1_prot_CFW92770.1_27  K05103 1489.87  133.2   4.3e-41 Eph receptor A2 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08884  233.93  132.7   9.1e-41 serine/threonine protein kinase, bacterial [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K06619 1193.60  131.0   2.2e-40 abelson tyrosine-protein kinase 1 [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K02861  403.40  129.1   1.1e-39 receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05094 1028.90  128.2   1.6e-39 fibroblast growth factor receptor 3 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K05704  877.90  124.9   1.4e-38 tyrosine-protein kinase Src [EC:2.7.10.2]
  lcl|LN828718.1_prot_CFW92770.1_27  K08847  355.17  124.7   2.6e-38 receptor-interacting serine/threonine-protein kinase 3 [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04367  249.33  124.1   3.3e-38 proto-oncogene serine/threonine-protein kinase mos [EC:2.7.11.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K04362 1060.63  122.1   1.1e-37 fibroblast growth factor receptor 1 [EC:2.7.10.1]
  lcl|LN828718.1_prot_CFW92770.1_27  K08844 1309.20  122.0   4.8e-38 leucine-rich repeat kinase 2 [EC:2.7.11.1]
