Gene_name,KO_annot
lcl|LN828718.1_prot_CFW92751.1_8,K07171 
lcl|LN828718.1_prot_CFW92752.1_9,K01156 
lcl|LN828718.1_prot_CFW92753.1_10,K03703 
lcl|LN828718.1_prot_CFW92754.1_11,K00943 
lcl|LN828718.1_prot_CFW92754.1_11,K03574 
lcl|LN828718.1_prot_CFW92757.1_14,K00560 
lcl|LN828718.1_prot_CFW92759.1_16,K02434 
lcl|LN828718.1_prot_CFW92761.1_18,K01887 
lcl|LN828718.1_prot_CFW92766.1_23,K00962 
lcl|LN828718.1_prot_CFW92767.1_24,K07171 
lcl|LN828718.1_prot_CFW92777.1_34,K03424 
lcl|LN828718.1_prot_CFW92784.1_41,K01890 
lcl|LN828718.1_prot_CFW92794.1_51,K03687 
lcl|LN828718.1_prot_CFW92795.1_52,K03438 
lcl|LN828718.1_prot_CFW92804.1_61,K02888 
lcl|LN828718.1_prot_CFW92805.1_62,K02906 
lcl|LN828718.1_prot_CFW92806.1_63,K02899 
lcl|LN828718.1_prot_CFW92808.1_65,K01056 
lcl|LN828718.1_prot_CFW92810.1_67,K02881 
lcl|LN828718.1_prot_CFW92812.1_69,K02876 
lcl|LN828718.1_prot_CFW92824.1_81,K03763 
lcl|LN828718.1_prot_CFW92824.1_81,K02342 
lcl|LN828718.1_prot_CFW92824.1_81,K09951 
lcl|LN828718.1_prot_CFW92828.1_85,K01873 
lcl|LN828718.1_prot_CFW92829.1_86,K03046 
lcl|LN828718.1_prot_CFW92830.1_87,K03043 
lcl|LN828718.1_prot_CFW92831.1_88,K02935 
lcl|LN828718.1_prot_CFW92832.1_89,K02864 
lcl|LN828718.1_prot_CFW92838.1_95,K04075 
lcl|LN828718.1_prot_CFW92841.1_98,K02519 
lcl|LN828718.1_prot_CFW92843.1_100,K02986 
lcl|LN828718.1_prot_CFW92844.1_101,K03799 
lcl|LN828718.1_prot_CFW92845.1_102,K01889 
lcl|LN828718.1_prot_CFW92850.1_107,K01883 
lcl|LN828718.1_prot_CFW92851.1_108,K01151 
lcl|LN828718.1_prot_CFW92852.1_109,K06999 
lcl|LN828718.1_prot_CFW92853.1_110,K03070 
lcl|LN828718.1_prot_CFW92862.1_119,K01156 
lcl|LN828718.1_prot_CFW92864.1_121,K07316 
lcl|LN828718.1_prot_CFW92870.1_127,K03177 
lcl|LN828718.1_prot_CFW92873.1_130,K02952 
lcl|LN828718.1_prot_132,K07171 
lcl|LN828718.1_prot_CFW92884.1_141,K02994 
lcl|LN828718.1_prot_CFW92885.1_142,K03702 
lcl|LN828718.1_prot_CFW92886.1_143,K03495 
lcl|LN828718.1_prot_CFW92888.1_145,K03664 
lcl|LN828718.1_prot_CFW92890.1_147,K10563 
lcl|LN828718.1_prot_CFW92891.1_148,K02916 
lcl|LN828718.1_prot_CFW92897.1_154,K02316 
lcl|LN828718.1_prot_CFW92901.1_158,K01972 
lcl|LN828718.1_prot_CFW92902.1_159,K01265 
lcl|LN828718.1_prot_CFW92906.1_163,K18682 
lcl|LN828718.1_prot_CFW92907.1_164,K02358 
lcl|LN828718.1_prot_CFW92910.1_167,K00600 
lcl|LN828718.1_prot_CFW92912.1_169,K02956 
lcl|LN828718.1_prot_CFW92915.1_172,K03650 
lcl|LN828718.1_prot_CFW92916.1_173,K01876 
lcl|LN828718.1_prot_CFW92919.1_176,K09769 
lcl|LN828718.1_prot_CFW92922.1_179,K02950 
lcl|LN828718.1_prot_CFW92923.1_180,K02933 
lcl|LN828718.1_prot_CFW92925.1_182,K02939 
lcl|LN828718.1_prot_CFW92928.1_185,K02990 
lcl|LN828718.1_prot_CFW92929.1_186,K01880 
lcl|LN828718.1_prot_CFW92931.1_188,K00945 
lcl|LN828718.1_prot_CFW92932.1_189,K03553 
lcl|LN828718.1_prot_CFW92935.1_192,K02838 
lcl|LN828718.1_prot_CFW92942.1_199,K03427 
lcl|LN828718.1_prot_CFW92998.1_255,K21498 
lcl|LN828718.1_prot_CFW92999.1_256,K07334 
lcl|LN828718.1_prot_CFW93000.1_257,K01255 
lcl|LN828718.1_prot_CFW93002.1_259,K06223 
lcl|LN828718.1_prot_CFW93002.1_259,K01155 
lcl|LN828718.1_prot_CFW93007.1_264,K03657 
lcl|LN828718.1_prot_CFW93008.1_265,K02948 
lcl|LN828718.1_prot_CFW93009.1_266,K07171 
lcl|LN828718.1_prot_CFW93012.1_269,K02600 
lcl|LN828718.1_prot_CFW93017.1_274,K02992 
lcl|LN828718.1_prot_CFW93020.1_277,K03977 
lcl|LN828718.1_prot_CFW93021.1_278,K07171 
lcl|LN828718.1_prot_CFW93024.1_281,K01409 
lcl|LN828718.1_prot_CFW93026.1_283,K03763 
lcl|LN828718.1_prot_CFW93028.1_285,K01881 
lcl|LN828718.1_prot_CFW93031.1_288,K02959 
lcl|LN828718.1_prot_CFW93032.1_289,K02503 
lcl|LN828718.1_prot_CFW93035.1_292,K03652 
lcl|LN828718.1_prot_CFW93036.1_293,K00940 
lcl|LN828718.1_prot_CFW93050.1_307,K02884 
lcl|LN828718.1_prot_CFW93052.1_309,K01868 
lcl|LN828718.1_prot_CFW93053.1_310,K00287 
lcl|LN828718.1_prot_CFW93054.1_311,K04564 
lcl|LN828718.1_prot_CFW93057.1_314,K18626 
lcl|LN828718.1_prot_CFW93087.1_344,K12574 
lcl|LN828718.1_prot_CFW93088.1_345,K02874 
lcl|LN828718.1_prot_CFW93092.1_349,K07171 
lcl|LN828718.1_prot_CFW93096.1_353,K02835 
lcl|LN828718.1_prot_CFW93099.1_356,K02834 
lcl|LN828718.1_prot_CFW93101.1_358,K02878 
lcl|LN828718.1_prot_CFW93104.1_361,K02890 
lcl|LN828718.1_prot_CFW93105.1_362,K02886 
lcl|LN828718.1_prot_CFW93107.1_364,K02892 
lcl|LN828718.1_prot_CFW93113.1_370,K07488 
lcl|LN828718.1_prot_CFW93116.1_373,K02871 
lcl|LN828718.1_prot_CFW93120.1_377,K01885 
lcl|LN828718.1_prot_CFW93122.1_379,K03536 
lcl|LN828718.1_prot_381,K01872 
lcl|LN828718.1_prot_CFW93125.1_382,K03218 
lcl|LN828718.1_prot_CFW93128.1_385,K01892 
lcl|LN828718.1_prot_CFW93129.1_386,K03470 
lcl|LN828718.1_prot_CFW93136.1_391,K01507 
lcl|LN828718.1_prot_CFW93138.1_392,K02867 
lcl|LN828718.1_prot_CFW93139.1_393,K02887 
lcl|LN828718.1_prot_CFW93141.1_394,K02913 
lcl|LN828718.1_prot_CFW93146.1_397,K02355 
lcl|LN828718.1_prot_CFW93149.1_398,K06925 
lcl|LN828718.1_prot_400,K07171 
lcl|LN828718.1_prot_CFW93159.1_403,K07171 
lcl|LN828718.1_prot_CFW93161.1_404,K01156 
lcl|LN828718.1_prot_405,K01870 
lcl|LN828718.1_prot_CFW93170.1_408,K03427 
lcl|LN828718.1_prot_CFW93178.1_412,K03685 
lcl|LN828718.1_prot_CFW93196.1_419,K01874 
lcl|LN828718.1_prot_CFW93198.1_420,K02926 
lcl|LN828718.1_prot_CFW93204.1_423,K02996 
lcl|LN828718.1_prot_CFW93210.1_426,K01867 
lcl|LN828718.1_prot_CFW93213.1_427,K02967 
lcl|LN828718.1_prot_CFW93217.1_429,K00554 
lcl|LN828718.1_prot_CFW93227.1_433,K03168 
lcl|LN828718.1_prot_CFW93231.1_434,K07171 
lcl|LN828718.1_prot_CFW93240.1_438,K13281 
lcl|LN828718.1_prot_CFW93243.1_439,K00566 
lcl|LN828718.1_prot_CFW93250.1_442,K01875 
lcl|LN828718.1_prot_CFW93255.1_444,K01156 
lcl|LN828718.1_prot_CFW93260.1_446,K07316 
lcl|LN828718.1_prot_CFW93260.1_446,K00571 
lcl|LN828718.1_prot_CFW93263.1_447,K01893 
lcl|LN828718.1_prot_CFW93320.1_472,K07126 
lcl|LN828718.1_prot_CFW93384.1_502,K00571 
lcl|LN828718.1_prot_CFW93431.1_549,K07171 
lcl|LN828718.1_prot_CFW93434.1_552,K07171 
lcl|LN828718.1_prot_CFW93441.1_559,K01869 
lcl|LN828718.1_prot_CFW93447.1_565,K01866 
lcl|LN828718.1_prot_CFW93448.1_566,K02931 
lcl|LN828718.1_prot_CFW93450.1_568,K03151 
lcl|LN828718.1_prot_CFW93451.1_569,K02909 
lcl|LN828718.1_prot_CFW93457.1_575,K02863 
lcl|LN828718.1_prot_CFW93461.1_579,K07584 
lcl|LN828718.1_prot_CFW93462.1_580,K01426 
lcl|LN828718.1_prot_CFW93468.1_586,K01493 
lcl|LN828718.1_prot_CFW93475.1_593,K21064 
lcl|LN828718.1_prot_CFW93477.1_595,K02520 
lcl|LN828718.1_prot_CFW93478.1_596,K00384 
lcl|LN828718.1_prot_CFW93482.1_600,K02879 
lcl|LN828718.1_prot_CFW93483.1_601,K04567 
lcl|LN828718.1_prot_CFW93484.1_602,K00525 
