# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* KLL01550.1          K07496   31.67  291.3   9.8e-88 putative transposase
* KLL01557.1          K03168  435.60  511.6  3.2e-154 DNA topoisomerase I [EC:5.6.2.1]
* KLL01559.1          K03470  129.20  234.6   1.1e-70 ribonuclease HII [EC:3.1.26.4]
* KLL01560.1          K03438  118.37  384.7  4.2e-116 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
* KLL01561.1          K09769   82.67  329.9  5.7e-100 uncharacterized protein
* KLL01564.1          K01972  100.33  629.3  6.9e-190 DNA ligase (NAD+) [EC:6.5.1.2]
* KLL01568.1          K02835  355.80  367.7  8.4e-111 peptide chain release factor 1
* KLL01572.1          K02919   27.60   53.2   2.5e-15 large subunit ribosomal protein L36
* KLL01577.1          K02520   51.07   88.1   4.1e-26 translation initiation factor IF-3
* KLL01578.1          K01880  107.30  318.8   5.6e-96 glycyl-tRNA synthetase [EC:6.1.1.14]
* KLL01580.1          K00945   76.83  228.6     9e-69 CMP/dCMP kinase [EC:2.7.4.25]
* KLL01581.1          K03553  103.57  331.9  3.7e-100 recombination protein RecA
* KLL01585.1          K02926   76.47  183.9   3.2e-55 large subunit ribosomal protein L4
* KLL01598.1          K00525  363.03  588.8  8.5e-178 ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
* KLL01599.1          K07496   31.67   52.1   2.4e-15 putative transposase
* KLL01601.1          K00940  131.40  186.4   5.8e-56 nucleoside-diphosphate kinase [EC:2.7.4.6]
* KLL01603.1          K03151  132.87  374.8  4.4e-113 tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
* KLL01611.1          K04564   29.40  159.8   6.1e-48 superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
* KLL01613.1          K03536   19.73   38.2   7.6e-11 ribonuclease P protein component [EC:3.1.26.5]
* KLL01614.1          K02914   18.57   34.7     7e-10 large subunit ribosomal protein L34
* KLL01616.1          K03657  379.80  528.3  2.7e-159 DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
* KLL01618.1          K03664   28.77  140.6   3.4e-42 SsrA-binding protein
* KLL01627.1          K03177  215.57  217.3     2e-65 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* KLL01630.1          K03702  143.73  871.8    6e-263 excinuclease ABC subunit B
* KLL01631.1          K00573   96.73  245.5   7.3e-74 protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]
* KLL01638.1          K01874  236.63  494.9  2.8e-149 methionyl-tRNA synthetase [EC:6.1.1.10]
* KLL01639.1          K03687   30.90   86.2   1.3e-25 molecular chaperone GrpE
* KLL01642.1          K02916   22.97   46.9   2.1e-13 large subunit ribosomal protein L35
* KLL01650.1          K02931   99.93  147.1   2.7e-44 large subunit ribosomal protein L5
* KLL01652.1          K02355  515.13  755.4  6.3e-228 elongation factor G
* KLL01653.1          K02434  265.63  339.2  3.7e-102 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* KLL01654.1          K07584   35.60   71.8   4.1e-21 uncharacterized protein
* KLL01656.1          K07496   31.67  116.3   8.9e-35 putative transposase
* KLL01657.1          K07491   17.77  103.5   1.1e-30 putative transposase
* KLL01663.1          K07491   17.77  111.0   5.5e-33 putative transposase
* KLL01664.1          K07496   31.67   62.1   2.3e-18 putative transposase
* KLL01671.1          K01265  125.50  221.8   1.3e-66 methionyl aminopeptidase [EC:3.4.11.18]
* KLL01673.1          K04567  302.73  648.5  9.3e-196 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* KLL01677.1          K01890  121.63  202.5   6.6e-61 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
