Gene_name,KO_annot
JJHKIGFC_00009,K02906 
JJHKIGFC_00011,K02926 
JJHKIGFC_00012,K02892 
JJHKIGFC_00015,K00962 
JJHKIGFC_00019,K03799 
JJHKIGFC_00021,K02834 
JJHKIGFC_00022,K02519 
JJHKIGFC_00023,K02600 
JJHKIGFC_00027,K06878 
JJHKIGFC_00031,K03685 
JJHKIGFC_00032,K06999 
JJHKIGFC_00036,K02835 
JJHKIGFC_00038,K03070 
JJHKIGFC_00039,K03979 
JJHKIGFC_00041,K01883 
JJHKIGFC_00043,K03218 
JJHKIGFC_00044,K03648 
JJHKIGFC_00106,K00558 
JJHKIGFC_00118,K00945 
JJHKIGFC_00119,K12574 
JJHKIGFC_00122,K01890 
JJHKIGFC_00123,K03424 
JJHKIGFC_00124,K06223 
JJHKIGFC_00124,K01155 
JJHKIGFC_00134,K02879 
JJHKIGFC_00138,K04564 
JJHKIGFC_00141,K01151 
JJHKIGFC_00144,K00943 
JJHKIGFC_00145,K00943 
JJHKIGFC_00145,K07766 
JJHKIGFC_00149,K09769 
JJHKIGFC_00151,K01870 
JJHKIGFC_00153,K00554 
JJHKIGFC_00155,K01297 
JJHKIGFC_00177,K02434 
JJHKIGFC_00179,K07496 
JJHKIGFC_00184,K03763 
JJHKIGFC_00184,K02342 
JJHKIGFC_00185,K00384 
JJHKIGFC_00189,K00600 
JJHKIGFC_00194,K02909 
JJHKIGFC_00195,K02358 
JJHKIGFC_00199,K00566 
JJHKIGFC_00201,K06925 
JJHKIGFC_00205,K03702 
JJHKIGFC_00208,K02911 
JJHKIGFC_00210,K03664 
JJHKIGFC_00211,K02887 
JJHKIGFC_00215,K02996 
JJHKIGFC_00218,K02899 
JJHKIGFC_00219,K02967 
JJHKIGFC_00235,K18682 
JJHKIGFC_00237,K02946 
JJHKIGFC_00245,K02956 
JJHKIGFC_00246,K02968 
JJHKIGFC_00255,K07171 
JJHKIGFC_00256,K01876 
JJHKIGFC_00258,K00525 
JJHKIGFC_00264,K07171 
JJHKIGFC_00266,K02503 
JJHKIGFC_00267,K03553 
JJHKIGFC_00268,K02316 
JJHKIGFC_00269,K03650 
JJHKIGFC_00273,K03177 
JJHKIGFC_00278,K03427 
JJHKIGFC_00278,K01154 
JJHKIGFC_00284,K01869 
JJHKIGFC_00286,K04567 
JJHKIGFC_00288,K01875 
JJHKIGFC_00289,K01880 
