Gene_name,KO_annot
JILDAGCH_00002,K06218 
JILDAGCH_00007,K06218 
JILDAGCH_00019,K07171 
JILDAGCH_00029,K03470 
JILDAGCH_00030,K01875 
JILDAGCH_00033,K00940 
JILDAGCH_00042,K01890 
JILDAGCH_00044,K03763 
JILDAGCH_00044,K09951 
JILDAGCH_00052,K03652 
JILDAGCH_00053,K01870 
JILDAGCH_00058,K02838 
JILDAGCH_00063,K02835 
JILDAGCH_00065,K03070 
JILDAGCH_00066,K07042 
JILDAGCH_00072,K03979 
JILDAGCH_00073,K09769 
JILDAGCH_00075,K03685 
JILDAGCH_00078,K04075 
JILDAGCH_00079,K01885 
JILDAGCH_00081,K02914 
JILDAGCH_00082,K06925 
JILDAGCH_00084,K03657 
JILDAGCH_00085,K02357 
JILDAGCH_00088,K03687 
JILDAGCH_00095,K02990 
JILDAGCH_00097,K02939 
JILDAGCH_00100,K01151 
JILDAGCH_00102,K01883 
JILDAGCH_00103,K01887 
JILDAGCH_00106,K07447 
JILDAGCH_00107,K01872 
JILDAGCH_00109,K03424 
JILDAGCH_00110,K03703 
JILDAGCH_00111,K10563 
JILDAGCH_00114,K01876 
JILDAGCH_00129,K21498 
JILDAGCH_00145,K07334 
JILDAGCH_00146,K21498 
JILDAGCH_00177,K07584 
JILDAGCH_00178,K02888 
JILDAGCH_00181,K02968 
JILDAGCH_00182,K00962 
JILDAGCH_00185,K01866 
JILDAGCH_00186,K01409 
JILDAGCH_00187,K02887 
JILDAGCH_00189,K01874 
JILDAGCH_00190,K03547 
JILDAGCH_00191,K02959 
JILDAGCH_00192,K03438 
JILDAGCH_00193,K02911 
JILDAGCH_00194,K02967 
JILDAGCH_00195,K01507 
JILDAGCH_00199,K18682 
JILDAGCH_00201,K02946 
JILDAGCH_00202,K03168 
JILDAGCH_00204,K03650 
JILDAGCH_00205,K03536 
JILDAGCH_00207,K01056 
JILDAGCH_00211,K02913 
JILDAGCH_00212,K02434 
JILDAGCH_00213,K03664 
JILDAGCH_00214,K02503 
JILDAGCH_00216,K00554 
JILDAGCH_00217,K02986 
JILDAGCH_00220,K12574 
JILDAGCH_00222,K02956 
JILDAGCH_00227,K01873 
JILDAGCH_00228,K04567 
JILDAGCH_00229,K02950 
JILDAGCH_00230,K02992 
JILDAGCH_00231,K02355 
JILDAGCH_00236,K01881 
JILDAGCH_00240,K13993 
JILDAGCH_00241,K01880 
JILDAGCH_00243,K02358 
JILDAGCH_00259,K02906 
JILDAGCH_00260,K02926 
JILDAGCH_00262,K02886 
JILDAGCH_00263,K02965 
JILDAGCH_00264,K02890 
JILDAGCH_00265,K02982 
JILDAGCH_00266,K02878 
JILDAGCH_00268,K02961 
JILDAGCH_00269,K02874 
JILDAGCH_00271,K02931 
JILDAGCH_00272,K02954 
JILDAGCH_00273,K02994 
JILDAGCH_00274,K02933 
JILDAGCH_00275,K02881 
JILDAGCH_00276,K02988 
JILDAGCH_00277,K02876 
JILDAGCH_00280,K01265 
JILDAGCH_00281,K02518 
JILDAGCH_00282,K02952 
JILDAGCH_00283,K02948 
JILDAGCH_00284,K03040 
JILDAGCH_00285,K02879 
JILDAGCH_00288,K02871 
JILDAGCH_00289,K02996 
JILDAGCH_00291,K02867 
JILDAGCH_00292,K02863 
JILDAGCH_00293,K02864 
JILDAGCH_00294,K02935 
JILDAGCH_00295,K03043 
JILDAGCH_00296,K03046 
JILDAGCH_00297,K00566 
JILDAGCH_00298,K03977 
JILDAGCH_00303,K02909 
JILDAGCH_00305,K02899 
JILDAGCH_00308,K03164 
JILDAGCH_00309,K01868 
JILDAGCH_00310,K02520 
JILDAGCH_00311,K02916 
JILDAGCH_00312,K02601 
JILDAGCH_00314,K01869 
JILDAGCH_00317,K02316 
JILDAGCH_00319,K01867 
JILDAGCH_00322,K03218 
JILDAGCH_00323,K03702 
JILDAGCH_00324,K01893 
JILDAGCH_00325,K02884 
JILDAGCH_00328,K03648 
JILDAGCH_00329,K01972 
JILDAGCH_00332,K03553 
JILDAGCH_00335,K03530 
JILDAGCH_00336,K03495 
JILDAGCH_00337,K05592 
JILDAGCH_00345,K01889 
JILDAGCH_00354,K07171 
JILDAGCH_00360,K07171 
JILDAGCH_00415,K06218 
JILDAGCH_00418,K06218 
JILDAGCH_00430,K03151 
JILDAGCH_00431,K02600 
JILDAGCH_00432,K02519 
