# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* KLL01789.1          K07171   19.37   68.0     1e-19 mRNA interferase MazF [EC:3.1.-.-]
* KLL01851.1          K03664   28.77  149.7     1e-44 SsrA-binding protein
* KLL02178.1          K02879   35.07   99.0   3.9e-29 large subunit ribosomal protein L17
* KLL02426.1          K13993   74.27   99.4   2.4e-29 HSP20 family protein
* KLL02608.1          K07171   19.37   31.9     1e-08 mRNA interferase MazF [EC:3.1.-.-]
* KLL02615.1          K03168  435.60  513.3  1.7e-154 DNA topoisomerase I [EC:5.6.2.1]
* KLL02637.1          K07496   31.67   65.6   3.6e-19 putative transposase
* KLL02711.1          K02503   86.80  125.7     2e-37 histidine triad (HIT) family protein
* KLL02762.1          K07316  209.03  406.4  2.3e-122 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* KLL02762.1          K00571  148.63  151.0   6.1e-45 site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
* KLL02776.1          K03496  128.07  210.2   6.9e-63 chromosome partitioning protein
* KLL02790.1          K03427   97.00  163.9     7e-49 type I restriction enzyme M protein [EC:2.1.1.72]
* KLL02807.1          K21498   47.93   61.9   7.4e-18 antitoxin HigA-1
* KLL02826.1          K00554  127.83  294.5   1.3e-88 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* KLL02871.1          K01889  109.70  315.9   5.2e-95 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
* KLL02872.1          K07584   35.60   67.9   1.2e-19 uncharacterized protein
* KLL02896.1          K01887   47.77  353.4    3e-106 arginyl-tRNA synthetase [EC:6.1.1.19]
* KLL02950.1          K07171   19.37  101.4   6.1e-30 mRNA interferase MazF [EC:3.1.-.-]
* KLL02974.1          K03495  121.13  832.4  4.5e-251 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
* KLL02991.1          K02931   99.93  187.4   2.4e-56 large subunit ribosomal protein L5
* KLL02992.1          K01866   93.67  248.6   1.3e-74 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* KLL02994.1          K00560   77.53  422.2  2.1e-127 thymidylate synthase [EC:2.1.1.45]
* KLL03036.1          K02926   76.47  174.7   3.6e-52 large subunit ribosomal protein L4
* KLL03074.1          K01409   84.10  393.1  3.1e-118 N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
* KLL03097.1          K07171   19.37   95.4   4.2e-28 mRNA interferase MazF [EC:3.1.-.-]
* KLL03116.1          K07171   19.37   54.6   1.2e-15 mRNA interferase MazF [EC:3.1.-.-]
* KLL03118.1          K03218  217.53  233.2   4.1e-70 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* KLL03119.1          K03703  248.20  440.6  1.4e-132 excinuclease ABC subunit C
* KLL03131.1          K09769   82.67  315.4   2.7e-95 uncharacterized protein
* KLL03133.1          K21064  178.67  204.7   2.1e-61 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
* KLL03134.1          K07171   19.37   83.0   2.6e-24 mRNA interferase MazF [EC:3.1.-.-]
* KLL03138.1          K07171   19.37   91.4   6.6e-27 mRNA interferase MazF [EC:3.1.-.-]
* KLL03157.1          K02355  515.13  851.6  9.7e-257 elongation factor G
* KLL03160.1          K07171   19.37   42.2   7.7e-12 mRNA interferase MazF [EC:3.1.-.-]
* KLL03212.1          K07496   31.67  297.2   2.9e-89 putative transposase
* KLL03237.1          K07171   19.37   89.5   2.5e-26 mRNA interferase MazF [EC:3.1.-.-]
* KLL03238.1          K01156  140.97  284.7   2.1e-85 type III restriction enzyme [EC:3.1.21.5]
* KLL03277.1          K07171   19.37   56.5   3.3e-16 mRNA interferase MazF [EC:3.1.-.-]
* KLL03279.1          K07171   19.37   77.5   1.2e-22 mRNA interferase MazF [EC:3.1.-.-]
* KLL03298.1          K03470  129.20  234.3   2.5e-70 ribonuclease HII [EC:3.1.26.4]
* KLL03299.1          K01892  276.97  287.7   1.9e-86 histidyl-tRNA synthetase [EC:6.1.1.21]
* KLL03320.1          K07171   19.37   49.2   5.6e-14 mRNA interferase MazF [EC:3.1.-.-]
* KLL03345.1          K01426  211.53  216.6   8.1e-65 amidase [EC:3.5.1.4]
* KLL03347.1          K07494   74.50   83.4   2.3e-24 putative transposase
* KLL03351.1          K01156  140.97  225.6   1.4e-67 type III restriction enzyme [EC:3.1.21.5]
* KLL03431.1          K06218   35.80   51.5   2.1e-14 mRNA interferase RelE/StbE
* KLL03503.1          K06218   35.80   70.4   3.1e-20 mRNA interferase RelE/StbE
* KLL03732.1          K07171   19.37   71.6   7.8e-21 mRNA interferase MazF [EC:3.1.-.-]
* KLL03743.1          K07171   19.37   61.8   7.4e-18 mRNA interferase MazF [EC:3.1.-.-]
