# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* ELLNPJPG_00008      K02876   42.03  113.9   4.2e-34 large subunit ribosomal protein L15
* ELLNPJPG_00010      K02881   60.30   69.7   1.2e-20 large subunit ribosomal protein L18
* ELLNPJPG_00011      K02933  112.43  151.5   1.5e-45 large subunit ribosomal protein L6
* ELLNPJPG_00012      K02994   89.83  128.6   9.7e-39 small subunit ribosomal protein S8
* ELLNPJPG_00013      K02954   24.90   37.1   1.1e-10 small subunit ribosomal protein S14
* ELLNPJPG_00017      K03687   30.90  125.7   9.1e-38 molecular chaperone GrpE
* ELLNPJPG_00026      K00940  131.40  198.2     1e-59 nucleoside-diphosphate kinase [EC:2.7.4.6]
* ELLNPJPG_00030      K01883  398.70  451.4  3.7e-136 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* ELLNPJPG_00034      K03168  435.60  508.7  1.7e-153 DNA topoisomerase I [EC:5.6.2.1]
* ELLNPJPG_00050      K07334   76.87  102.0   1.3e-30 toxin HigB-1
* ELLNPJPG_00051      K21498   47.93   97.4   3.2e-29 antitoxin HigA-1
* ELLNPJPG_00064      K03070  152.83  720.1  1.8e-217 preprotein translocase subunit SecA [EC:7.4.2.8]
* ELLNPJPG_00065      K06925   47.07  105.9   1.1e-31 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* ELLNPJPG_00067      K00554  127.83  292.0     3e-88 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* ELLNPJPG_00075      K00962  149.47  628.5  7.6e-190 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* ELLNPJPG_00077      K01866   93.67  225.2   6.4e-68 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* ELLNPJPG_00087      K01873  589.77  697.0  1.8e-210 valyl-tRNA synthetase [EC:6.1.1.9]
* ELLNPJPG_00102      K18626   84.83  110.9   1.8e-33 trichohyalin
* ELLNPJPG_00105      K04567  302.73  667.4  1.3e-201 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* ELLNPJPG_00106      K00571  148.63  197.7   1.7e-59 site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
* ELLNPJPG_00106      K06223   68.57  153.3   4.4e-46 DNA adenine methylase [EC:2.1.1.72]
* ELLNPJPG_00108      K03652   51.33  224.5     9e-68 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* ELLNPJPG_00111      K03977  204.07  314.4   5.7e-95 GTPase
* ELLNPJPG_00128      K07171   19.37   85.3   1.9e-25 mRNA interferase MazF [EC:3.1.-.-]
* ELLNPJPG_00144      K07171   19.37   51.9   3.4e-15 mRNA interferase MazF [EC:3.1.-.-]
* ELLNPJPG_00157      K21498   47.93   88.0   2.5e-26 antitoxin HigA-1
* ELLNPJPG_00161      K03496  128.07  194.0   2.3e-58 chromosome partitioning protein
* ELLNPJPG_00178      K07171   19.37   80.3   6.6e-24 mRNA interferase MazF [EC:3.1.-.-]
* ELLNPJPG_00190      K21498   47.93   79.2   1.4e-23 antitoxin HigA-1
* ELLNPJPG_00210      K03657  379.80  498.5  1.9e-150 DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
* ELLNPJPG_00213      K02919   27.60   66.1   1.9e-19 large subunit ribosomal protein L36
* ELLNPJPG_00214      K02952  115.63  133.2   3.2e-40 small subunit ribosomal protein S13
* ELLNPJPG_00215      K02948   97.70  106.8     6e-32 small subunit ribosomal protein S11
* ELLNPJPG_00217      K02879   35.07  102.1   1.8e-30 large subunit ribosomal protein L17
* ELLNPJPG_00220      K02956   32.03   55.9   2.1e-16 small subunit ribosomal protein S15
* ELLNPJPG_00257      K01870  514.83  587.6  2.6e-177 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* ELLNPJPG_00262      K01893  376.90  603.5  2.3e-182 asparaginyl-tRNA synthetase [EC:6.1.1.22]
* ELLNPJPG_00279      K07494   74.50   93.7   6.5e-28 putative transposase
* ELLNPJPG_00281      K03427   97.00  266.6   2.1e-80 type I restriction enzyme M protein [EC:2.1.1.72]
* ELLNPJPG_00281      K01154   25.93   73.6   6.9e-22 type I restriction enzyme, S subunit [EC:3.1.21.3]
* ELLNPJPG_00299      K01880  107.30  305.5   4.2e-92 glycyl-tRNA synthetase [EC:6.1.1.14]
* ELLNPJPG_00301      K00945   76.83  224.3   1.2e-67 CMP/dCMP kinase [EC:2.7.4.25]
* ELLNPJPG_00302      K03553  103.57  282.0   3.5e-85 recombination protein RecA
* ELLNPJPG_00305      K04075  115.90  173.8   2.8e-52 tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
* ELLNPJPG_00308      K03685  157.10  199.3   4.9e-60 ribonuclease III [EC:3.1.26.3]
* ELLNPJPG_00313      K18682  118.43  511.0  1.5e-154 ribonucrease Y [EC:3.1.-.-]
* ELLNPJPG_00315      K02946   65.63   67.7   4.4e-20 small subunit ribosomal protein S10
