# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* FNHOILDI_00003      K02935   28.83   70.5   1.8e-20 large subunit ribosomal protein L7/L12
* FNHOILDI_00004      K03043  365.63  855.5  7.6e-258 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* FNHOILDI_00005      K03046  542.03 1015.5         0 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
* FNHOILDI_00007      K07171   19.37   60.2   2.6e-17 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00010      K01297   68.23  275.8   6.6e-83 muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
* FNHOILDI_00011      K03177  215.57  288.6   1.1e-86 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* FNHOILDI_00015      K01869  429.83  949.3  5.1e-286 leucyl-tRNA synthetase [EC:6.1.1.4]
* FNHOILDI_00017      K04567  302.73  647.9  2.8e-195 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* FNHOILDI_00019      K01875   76.07  386.8  1.6e-116 seryl-tRNA synthetase [EC:6.1.1.11]
* FNHOILDI_00025      K07494   74.50  115.9     3e-34 putative transposase
* FNHOILDI_00027      K01880  107.30  306.6   5.3e-92 glycyl-tRNA synthetase [EC:6.1.1.14]
* FNHOILDI_00033      K02874  102.87  126.2   1.4e-37 large subunit ribosomal protein L14
* FNHOILDI_00035      K02931   99.93  191.9   1.1e-57 large subunit ribosomal protein L5
* FNHOILDI_00037      K02954   24.90   57.5   1.8e-16 small subunit ribosomal protein S14
* FNHOILDI_00038      K02994   89.83  132.7   1.4e-39 small subunit ribosomal protein S8
* FNHOILDI_00039      K02933  112.43  136.9   1.1e-40 large subunit ribosomal protein L6
* FNHOILDI_00040      K02881   60.30   90.9   1.1e-26 large subunit ribosomal protein L18
* FNHOILDI_00043      K02876   42.03  148.4   3.8e-44 large subunit ribosomal protein L15
* FNHOILDI_00046      K01265  125.50  248.0   2.9e-74 methionyl aminopeptidase [EC:3.4.11.18]
* FNHOILDI_00047      K02518   47.27   47.6   1.6e-13 translation initiation factor IF-1
* FNHOILDI_00048      K02919   27.60   61.7   1.2e-17 large subunit ribosomal protein L36
* FNHOILDI_00049      K02952  115.63  133.5   7.1e-40 small subunit ribosomal protein S13
* FNHOILDI_00050      K02948   97.70  100.3   1.6e-29 small subunit ribosomal protein S11
* FNHOILDI_00055      K02886  162.97  324.4   1.4e-97 large subunit ribosomal protein L2
* FNHOILDI_00056      K02965  108.47  118.5   4.8e-35 small subunit ribosomal protein S19
* FNHOILDI_00057      K02890   79.10   95.9     3e-28 large subunit ribosomal protein L22
* FNHOILDI_00058      K02982  108.80  162.3   1.7e-48 small subunit ribosomal protein S3
* FNHOILDI_00059      K02878   86.63  173.8   5.6e-52 large subunit ribosomal protein L16
* FNHOILDI_00060      K01507   23.07  148.8   3.6e-44 inorganic pyrophosphatase [EC:3.6.1.1]
* FNHOILDI_00062      K02503   86.80   97.8   7.5e-29 histidine triad (HIT) family protein
* FNHOILDI_00063      K03553  103.57  353.2  2.5e-106 recombination protein RecA
* FNHOILDI_00064      K02316   54.50  283.8     5e-85 DNA primase [EC:2.7.7.101]
* FNHOILDI_00068      K03657  379.80  521.8  4.8e-157 DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
* FNHOILDI_00103      K02888   25.87   95.3     5e-28 large subunit ribosomal protein L21
* FNHOILDI_00105      K01426  211.53  240.2   6.1e-72 amidase [EC:3.5.1.4]
* FNHOILDI_00106      K03703  248.20  427.8  1.1e-128 excinuclease ABC subunit C
* FNHOILDI_00110      K00384  339.83  371.4  9.9e-112 thioredoxin reductase (NADPH) [EC:1.8.1.9]
* FNHOILDI_00111      K00945   76.83  212.0   1.8e-63 CMP/dCMP kinase [EC:2.7.4.25]
* FNHOILDI_00181      K03648   88.37  265.8   1.3e-79 uracil-DNA glycosylase [EC:3.2.2.27]
* FNHOILDI_00182      K03218  217.53  238.2   1.4e-71 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* FNHOILDI_00184      K01883  398.70  455.5  5.6e-137 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* FNHOILDI_00185      K07171   19.37   84.0   1.4e-24 mRNA interferase MazF [EC:3.1.-.-]
* FNHOILDI_00193      K01872  198.30  287.5   2.7e-86 alanyl-tRNA synthetase [EC:6.1.1.7]
* FNHOILDI_00195      K03470  129.20  243.5   4.1e-73 ribonuclease HII [EC:3.1.26.4]
* FNHOILDI_00205      K01868  140.00  438.7  6.1e-132 threonyl-tRNA synthetase [EC:6.1.1.3]
* FNHOILDI_00208      K01056   46.53  231.8   1.3e-69 peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]
* FNHOILDI_00224      K01876  291.87  357.3  2.3e-107 aspartyl-tRNA synthetase [EC:6.1.1.12]
* FNHOILDI_00227      K02434  265.63  349.0  7.6e-105 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* FNHOILDI_00231      K08597  115.77  124.5   8.3e-37 sentrin-specific protease 8 [EC:3.4.22.68]
* FNHOILDI_00234      K02879   35.07  105.6   4.2e-31 large subunit ribosomal protein L17
* FNHOILDI_00238      K04564   29.40  172.8   1.3e-51 superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
* FNHOILDI_00241      K01151  122.83  305.9   4.3e-92 deoxyribonuclease IV [EC:3.1.21.2]
* FNHOILDI_00244      K00943   98.17  130.2     1e-38 dTMP kinase [EC:2.7.4.9]
* FNHOILDI_00245      K00943   98.17  158.9   1.8e-47 dTMP kinase [EC:2.7.4.9]
* FNHOILDI_00245      K07766   88.53  105.9   2.8e-31 diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
* FNHOILDI_00247      K03650  167.93  437.1  1.7e-131 tRNA modification GTPase [EC:3.6.-.-]
* FNHOILDI_00253      K01881  159.03  284.8   1.2e-85 prolyl-tRNA synthetase [EC:6.1.1.15]
* FNHOILDI_00255      K02939   47.80   84.0   1.4e-24 large subunit ribosomal protein L9
* FNHOILDI_00256      K02963   71.50   79.0   4.9e-23 small subunit ribosomal protein S18
* FNHOILDI_00257      K02990   23.27   39.3   6.6e-11 small subunit ribosomal protein S6
* FNHOILDI_00263      K01255  418.07  441.7  7.7e-133 leucyl aminopeptidase [EC:3.4.11.1]
* FNHOILDI_00265      K00554  127.83  286.7   3.4e-86 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* FNHOILDI_00266      K01870  514.83  568.2    5e-171 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* FNHOILDI_00268      K09769   82.67  332.6  1.6e-100 uncharacterized protein
* FNHOILDI_00275      K02600   40.37  234.6   2.2e-70 transcription termination/antitermination protein NusA
* FNHOILDI_00276      K02519  306.67  486.7  1.9e-146 translation initiation factor IF-2
* FNHOILDI_00277      K02834   27.27   31.7   1.1e-08 ribosome-binding factor A
* FNHOILDI_00279      K03799  133.77  166.0   1.5e-49 heat shock protein HtpX [EC:3.4.24.-]
* FNHOILDI_00282      K00962  149.47  631.9    2e-190 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* FNHOILDI_00285      K02892   55.07   57.7   1.8e-16 large subunit ribosomal protein L23
* FNHOILDI_00286      K02926   76.47  203.2   8.4e-61 large subunit ribosomal protein L4
* FNHOILDI_00288      K02906  123.00  243.0   7.8e-73 large subunit ribosomal protein L3
* FNHOILDI_00291      K01887   47.77  363.3  3.4e-109 arginyl-tRNA synthetase [EC:6.1.1.19]
* FNHOILDI_00293      K03977  204.07  310.5   2.5e-93 GTPase
* FNHOILDI_00302      K00600   55.33  577.7  3.8e-174 glycine hydroxymethyltransferase [EC:2.1.2.1]
* FNHOILDI_00305      K07056   83.27  220.3   3.6e-66 16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]
* FNHOILDI_00308      K03495  121.13  860.2  1.9e-259 tRNA uridine 5-carboxymethylaminomethyl modification enzyme
* FNHOILDI_00315      K01154   25.93   41.6   9.3e-12 type I restriction enzyme, S subunit [EC:3.1.21.3]
* FNHOILDI_00316      K03427   97.00  254.5   2.7e-76 type I restriction enzyme M protein [EC:2.1.1.72]
* FNHOILDI_00316      K01154   25.93   44.3   1.5e-12 type I restriction enzyme, S subunit [EC:3.1.21.3]
* FNHOILDI_00317      K07494   74.50   97.9   9.1e-29 putative transposase
* FNHOILDI_00318      K02867   66.80   81.9   5.5e-24 large subunit ribosomal protein L11
* FNHOILDI_00320      K02884   22.50   73.9   1.7e-21 large subunit ribosomal protein L19
* FNHOILDI_00327      K01889  109.70  344.5  1.2e-103 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
* FNHOILDI_00333      K03687   30.90  117.6   7.1e-35 molecular chaperone GrpE
* FNHOILDI_00337      K21064  178.67  180.6   4.8e-54 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
* FNHOILDI_00339      K02959   28.23   87.5   1.3e-25 small subunit ribosomal protein S16
* FNHOILDI_00340      K02913   23.47   31.7   1.7e-08 large subunit ribosomal protein L33
* FNHOILDI_00345      K03536   19.73   60.6   2.1e-17 ribonuclease P protein component [EC:3.1.26.5]
* FNHOILDI_00347      K02520   51.07  144.1   7.3e-43 translation initiation factor IF-3
* FNHOILDI_00348      K02916   22.97   33.7   4.7e-09 large subunit ribosomal protein L35
* FNHOILDI_00349      K02986   77.73  192.5   1.1e-57 small subunit ribosomal protein S4
* FNHOILDI_00352      K01893  376.90  627.9  2.5e-189 asparaginyl-tRNA synthetase [EC:6.1.1.22]
