Gene_name,KO_annot
ANKDFBEC_00009,K01972 
ANKDFBEC_00011,K07042 
ANKDFBEC_00027,K02899 
ANKDFBEC_00029,K06925 
ANKDFBEC_00030,K06223 
ANKDFBEC_00030,K01155 
ANKDFBEC_00034,K12574 
ANKDFBEC_00060,K00384 
ANKDFBEC_00061,K02967 
ANKDFBEC_00063,K02835 
ANKDFBEC_00067,K21498 
ANKDFBEC_00069,K00560 
ANKDFBEC_00073,K00943 
ANKDFBEC_00079,K00940 
ANKDFBEC_00080,K06878 
ANKDFBEC_00085,K02434 
ANKDFBEC_00088,K04567 
ANKDFBEC_00091,K03652 
ANKDFBEC_00093,K03168 
ANKDFBEC_00097,K18682 
ANKDFBEC_00101,K01867 
ANKDFBEC_00104,K02834 
ANKDFBEC_00105,K02519 
ANKDFBEC_00106,K02600 
ANKDFBEC_00109,K01869 
ANKDFBEC_00124,K03687 
ANKDFBEC_00129,K02954 
ANKDFBEC_00130,K02994 
ANKDFBEC_00131,K02933 
ANKDFBEC_00132,K02881 
ANKDFBEC_00134,K02876 
ANKDFBEC_00141,K01870 
ANKDFBEC_00142,K07316 
ANKDFBEC_00150,K01892 
ANKDFBEC_00157,K01889 
ANKDFBEC_00159,K00554 
ANKDFBEC_00161,K02884 
ANKDFBEC_00162,K03424 
ANKDFBEC_00173,K13993 
ANKDFBEC_00174,K02911 
ANKDFBEC_00176,K03438 
ANKDFBEC_00178,K02913 
ANKDFBEC_00179,K02887 
ANKDFBEC_00180,K02916 
ANKDFBEC_00186,K07171 
ANKDFBEC_00188,K07171 
ANKDFBEC_00191,K09951 
ANKDFBEC_00192,K15342 
ANKDFBEC_00193,K09952 
ANKDFBEC_00216,K09952 
ANKDFBEC_00218,K03657 
ANKDFBEC_00221,K02996 
ANKDFBEC_00222,K02871 
ANKDFBEC_00228,K03553 
ANKDFBEC_00229,K00945 
ANKDFBEC_00231,K01880 
ANKDFBEC_00234,K02919 
ANKDFBEC_00236,K01265 
ANKDFBEC_00237,K00600 
ANKDFBEC_00238,K00287 
ANKDFBEC_00244,K03427 
ANKDFBEC_00244,K01154 
ANKDFBEC_00245,K07488 
ANKDFBEC_00251,K02879 
ANKDFBEC_00252,K03040 
ANKDFBEC_00253,K02948 
ANKDFBEC_00254,K02952 
ANKDFBEC_00255,K01876 
ANKDFBEC_00258,K01056 
ANKDFBEC_00264,K02931 
ANKDFBEC_00267,K02874 
ANKDFBEC_00270,K02878 
ANKDFBEC_00271,K02982 
ANKDFBEC_00272,K02890 
ANKDFBEC_00273,K02965 
ANKDFBEC_00274,K02992 
ANKDFBEC_00275,K02950 
ANKDFBEC_00277,K01873 
ANKDFBEC_00279,K03046 
ANKDFBEC_00280,K03043 
ANKDFBEC_00281,K02935 
ANKDFBEC_00282,K02864 
ANKDFBEC_00284,K02863 
ANKDFBEC_00285,K02867 
ANKDFBEC_00286,K01881 
ANKDFBEC_00288,K02503 
ANKDFBEC_00289,K01151 
ANKDFBEC_00293,K01255 
ANKDFBEC_00301,K02956 
ANKDFBEC_00312,K01893 
ANKDFBEC_00321,K01872 
ANKDFBEC_00325,K09760 
ANKDFBEC_00327,K03702 
ANKDFBEC_00330,K02316 
ANKDFBEC_00331,K02986 
ANKDFBEC_00335,K03685 
ANKDFBEC_00338,K01885 
ANKDFBEC_00340,K02914 
ANKDFBEC_00341,K03536 
ANKDFBEC_00343,K04564 
ANKDFBEC_00346,K02838 
ANKDFBEC_00350,K03703 
ANKDFBEC_00352,K07171 
ANKDFBEC_00366,K07584 
ANKDFBEC_00367,K02888 
ANKDFBEC_00369,K03470 
ANKDFBEC_00371,K02939 
ANKDFBEC_00372,K02963 
ANKDFBEC_00373,K03111 
ANKDFBEC_00412,K15255 
ANKDFBEC_00418,K03650 
ANKDFBEC_00420,K03763 
ANKDFBEC_00420,K02342 
ANKDFBEC_00423,K03763 
ANKDFBEC_00427,K02959 
ANKDFBEC_00430,K03495 
ANKDFBEC_00439,K01868 
ANKDFBEC_00441,K02520 
ANKDFBEC_00443,K10563 
ANKDFBEC_00450,K07171 
ANKDFBEC_00467,K00945 
ANKDFBEC_00468,K07496 
ANKDFBEC_00469,K07496 
ANKDFBEC_00477,K00940 
ANKDFBEC_00481,K02906 
ANKDFBEC_00483,K02926 
ANKDFBEC_00484,K02892 
ANKDFBEC_00488,K00962 
