Gene_name,KO_annot
KLL01550.1,K07496 
KLL01557.1,K03168 
KLL01559.1,K03470 
KLL01560.1,K03438 
KLL01561.1,K09769 
KLL01564.1,K01972 
KLL01568.1,K02835 
KLL01572.1,K02919 
KLL01577.1,K02520 
KLL01578.1,K01880 
KLL01580.1,K00945 
KLL01581.1,K03553 
KLL01585.1,K02926 
KLL01598.1,K00525 
KLL01599.1,K07496 
KLL01601.1,K00940 
KLL01603.1,K03151 
KLL01611.1,K04564 
KLL01613.1,K03536 
KLL01614.1,K02914 
KLL01616.1,K03657 
KLL01618.1,K03664 
KLL01627.1,K03177 
KLL01630.1,K03702 
KLL01631.1,K00573 
KLL01638.1,K01874 
KLL01639.1,K03687 
KLL01642.1,K02916 
KLL01650.1,K02931 
KLL01652.1,K02355 
KLL01653.1,K02434 
KLL01654.1,K07584 
KLL01656.1,K07496 
KLL01657.1,K07491 
KLL01663.1,K07491 
KLL01664.1,K07496 
KLL01671.1,K01265 
KLL01673.1,K04567 
KLL01677.1,K01890 
KLL01695.1,K01889 
KLL01704.1,K00857 
KLL01705.1,K00943 
KLL01715.1,K07496 
KLL01720.1,K03427 
KLL01721.1,K01154 
KLL01727.1,K02887 
KLL01733.1,K07496 
KLL01734.1,K01155 
KLL01745.1,K07491 
KLL01746.1,K07496 
KLL01749.1,K06925 
KLL01761.1,K01875 
KLL01765.1,K07494 
KLL01777.1,K01409 
KLL01780.1,K01890 
KLL01781.1,K06218 
KLL01799.1,K07491 
KLL01800.1,K07496 
KLL01801.1,K07496 
KLL01806.1,K07496 
KLL01808.1,K01872 
KLL01812.1,K02878 
KLL01813.1,K02982 
KLL01814.1,K03070 
KLL01818.1,K03046 
KLL01819.1,K03043 
KLL01820.1,K02935 
KLL01821.1,K02933 
KLL01824.1,K01507 
KLL01828.1,K06878 
KLL01830.1,K07316 
KLL01837.1,K01866 
KLL01854.1,K02887 
KLL01861.1,K01154 
KLL01862.1,K03427 
KLL01867.1,K07496 
KLL01869.1,K01872 
KLL01873.1,K02878 
KLL01874.1,K02982 
KLL01875.1,K03070 
KLL01879.1,K03046 
KLL01880.1,K03043 
KLL01881.1,K02935 
KLL01882.1,K02933 
KLL01885.1,K01507 
KLL01889.1,K06878 
KLL01891.1,K07316 
KLL01893.1,K01156 
KLL01900.1,K01866 
KLL01916.1,K01155 
KLL01917.1,K07496 
KLL01924.1,K02926 
KLL01937.1,K00525 
KLL01938.1,K07496 
KLL01940.1,K00940 
KLL01942.1,K03151 
KLL01950.1,K04564 
KLL01952.1,K03536 
KLL01953.1,K02914 
KLL01967.1,K07496 
KLL01970.1,K02503 
KLL01972.1,K01881 
KLL01986.1,K07494 
KLL02000.1,K07171 
KLL02005.1,K01870 
KLL02006.1,K18554 
KLL02008.1,K03763 
KLL02008.1,K02342 
KLL02010.1,K02863 
KLL02011.1,K02911 
KLL02012.1,K07496 
KLL02017.1,K00554 
KLL02039.1,K02879 
KLL02060.1,K02986 
KLL02061.1,K02358 
KLL02064.1,K00600 
KLL02070.1,K02906 
KLL02071.1,K01887 
KLL02072.1,K02909 
KLL02073.1,K02884 
KLL02088.1,K07171 
KLL02091.1,K02874 
KLL02094.1,K02886 
KLL02095.1,K02956 
KLL02096.1,K03650 
KLL02097.1,K13993 
KLL02100.1,K02959 
KLL02106.1,K02316 
KLL02114.1,K02913 
KLL02117.1,K01868 
KLL02140.1,K07494 
KLL02151.1,K01881 
KLL02153.1,K02503 
KLL02156.1,K07496 
KLL02169.1,K07494 
KLL02189.1,K06218 
KLL02190.1,K01890 
KLL02214.1,K07171 
KLL02220.1,K02988 
KLL02221.1,K02881 
KLL02224.1,K02864 
KLL02232.1,K01893 
KLL02234.1,K01409 
KLL02238.1,K07171 
KLL02240.1,K01885 
KLL02242.1,K00560 
KLL02244.1,K00287 
KLL02245.1,K01493 
KLL02248.1,K01874 
KLL02249.1,K03687 
KLL02252.1,K02916 
KLL02260.1,K02931 
KLL02262.1,K02355 
KLL02263.1,K02434 
KLL02264.1,K07584 
KLL02274.1,K01875 
KLL02276.1,K03495 
KLL02277.1,K02600 
KLL02278.1,K02519 
KLL02283.1,K01867 
KLL02286.1,K02892 
KLL02301.1,K07494 
KLL02314.1,K02888 
KLL02316.1,K07496 
KLL02321.1,K03703 
KLL02322.1,K03652 
KLL02323.1,K07496 
KLL02324.1,K07491 
KLL02326.1,K02876 
KLL02330.1,K02939 
KLL02331.1,K02968 
KLL02333.1,K03685 
KLL02336.1,K04075 
KLL02338.1,K09951 
KLL02341.1,K15342 
KLL02343.1,K02967 
KLL02344.1,K01883 
KLL02345.1,K07496 
KLL02349.1,K07171 
KLL02373.1,K07171 
KLL02384.1,K01867 
KLL02395.1,K07496 
KLL02404.1,K01869 
KLL02408.1,K02867 
KLL02412.1,K02838 
KLL02435.1,K01409 
KLL02436.1,K03763 
KLL02442.1,K01889 
KLL02451.1,K00857 
KLL02452.1,K00943 
KLL02460.1,K01873 
KLL02461.1,K03799 
KLL02462.1,K02950 
KLL02473.1,K02899 
KLL02477.1,K03218 
KLL02478.1,K03977 
KLL02485.1,K00962 
KLL02486.1,K00566 
KLL02501.1,K02871 
KLL02502.1,K12574 
KLL02504.1,K01876 
KLL02513.1,K18682 
KLL02515.1,K02946 
KLL02525.1,K01056 
KLL02532.1,K01151 
KLL02537.1,K15255 
KLL02541.1,K03424 
KLL02554.1,K07171 
KLL02575.1,K07496 
KLL02576.1,K07496 
KLL02591.1,K03648 
KLL02594.1,K10563 
