# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* ANKDFBEC_00009      K01972  100.33  618.1  5.6e-186 DNA ligase (NAD+) [EC:6.5.1.2]
* ANKDFBEC_00011      K07042   59.80  142.6   3.4e-42 probable rRNA maturation factor
* ANKDFBEC_00027      K02899   49.63  101.2   1.3e-29 large subunit ribosomal protein L27
* ANKDFBEC_00029      K06925   47.07  114.8   9.6e-34 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* ANKDFBEC_00030      K06223   68.57  258.3   2.9e-77 DNA adenine methylase [EC:2.1.1.72]
* ANKDFBEC_00030      K01155   25.73   90.8   3.1e-26 type II restriction enzyme [EC:3.1.21.4]
* ANKDFBEC_00034      K12574  172.07  589.3  2.6e-177 ribonuclease J [EC:3.1.-.-]
* ANKDFBEC_00060      K00384  339.83  361.2    2e-108 thioredoxin reductase (NADPH) [EC:1.8.1.9]
* ANKDFBEC_00061      K02967  138.30  282.0   1.2e-84 small subunit ribosomal protein S2
* ANKDFBEC_00063      K02835  355.80  425.5  8.9e-128 peptide chain release factor 1
* ANKDFBEC_00067      K21498   47.93  110.5   1.4e-32 antitoxin HigA-1
* ANKDFBEC_00069      K00560   77.53   97.0   2.5e-28 thymidylate synthase [EC:2.1.1.45]
* ANKDFBEC_00073      K00943   98.17  130.8   1.1e-38 dTMP kinase [EC:2.7.4.9]
* ANKDFBEC_00079      K00940  131.40  193.8   1.1e-57 nucleoside-diphosphate kinase [EC:2.7.4.6]
* ANKDFBEC_00080      K06878  111.70  130.9   6.1e-39 tRNA-binding protein
* ANKDFBEC_00085      K02434  265.63  352.3  1.3e-105 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* ANKDFBEC_00088      K04567  302.73  670.8  5.5e-202 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* ANKDFBEC_00091      K03652   51.33  226.9   7.9e-68 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* ANKDFBEC_00093      K03168  435.60  524.0  1.9e-157 DNA topoisomerase I [EC:5.6.2.1]
* ANKDFBEC_00097      K18682  118.43  497.5    8e-150 ribonucrease Y [EC:3.1.-.-]
* ANKDFBEC_00101      K01867  137.37  304.4   2.9e-91 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* ANKDFBEC_00104      K02834   27.27   31.0   2.9e-08 ribosome-binding factor A
* ANKDFBEC_00105      K02519  306.67  494.6  1.3e-148 translation initiation factor IF-2
* ANKDFBEC_00106      K02600   40.37  206.4   1.4e-61 transcription termination/antitermination protein NusA
* ANKDFBEC_00109      K01869  429.83  964.0  3.2e-290 leucyl-tRNA synthetase [EC:6.1.1.4]
* ANKDFBEC_00124      K03687   30.90  103.7   2.1e-30 molecular chaperone GrpE
* ANKDFBEC_00129      K02954   24.90   44.8   2.4e-12 small subunit ribosomal protein S14
* ANKDFBEC_00130      K02994   89.83  116.0   3.1e-34 small subunit ribosomal protein S8
* ANKDFBEC_00131      K02933  112.43  142.3   4.3e-42 large subunit ribosomal protein L6
* ANKDFBEC_00132      K02881   60.30   76.7   4.2e-22 large subunit ribosomal protein L18
* ANKDFBEC_00134      K02876   42.03  152.3   4.1e-45 large subunit ribosomal protein L15
* ANKDFBEC_00141      K01870  514.83  604.0  1.4e-181 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* ANKDFBEC_00142      K07316  209.03  242.6   1.8e-72 adenine-specific DNA-methyltransferase [EC:2.1.1.72]
* ANKDFBEC_00150      K01892  276.97  283.3   7.1e-85 histidyl-tRNA synthetase [EC:6.1.1.21]
* ANKDFBEC_00157      K01889  109.70  351.3  1.8e-105 phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]
* ANKDFBEC_00159      K00554  127.83  293.5   4.7e-88 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* ANKDFBEC_00161      K02884   22.50   66.9   4.1e-19 large subunit ribosomal protein L19
* ANKDFBEC_00162      K03424   88.03  274.2   3.7e-82 TatD DNase family protein [EC:3.1.21.-]
