Species,Size
DhMRE,658149
Endogone_FLAS59071,2927285
GBAus27b-MRE,978556
GvMRE,2518340
Jflam_AD002,986369
Jlac_OSC162217,1765419
MorGam_AM1032_MRE,408941
MorAlp_AD073_MRE,332360
MortAD185_MRE,635783
Mycoplasmataceae_CE_OT135,671273
Mycoplasmataceae_RC_NB112A,749203
Mycoplasmataceae_RV_VA103A,1243349
