# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* OKFPLJJI_00012      K01874  236.63  342.5  3.5e-103 methionyl-tRNA synthetase [EC:6.1.1.10]
* OKFPLJJI_00014      K03177  215.57  291.7   7.3e-88 tRNA pseudouridine55 synthase [EC:5.4.99.25]
* OKFPLJJI_00018      K03652   51.33  221.4   1.3e-66 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* OKFPLJJI_00020      K04567  302.73  660.0  3.7e-199 lysyl-tRNA synthetase, class II [EC:6.1.1.6]
* OKFPLJJI_00024      K01872  198.30  383.9  1.3e-115 alanyl-tRNA synthetase [EC:6.1.1.7]
* OKFPLJJI_00025      K02916   22.97   49.5   3.8e-14 large subunit ribosomal protein L35
* OKFPLJJI_00029      K01265  125.50  249.0   9.1e-75 methionyl aminopeptidase [EC:3.4.11.18]
* OKFPLJJI_00030      K02967  138.30  262.2   4.5e-79 small subunit ribosomal protein S2
* OKFPLJJI_00032      K02835  355.80  377.3  1.2e-113 peptide chain release factor 1
* OKFPLJJI_00036      K03763  228.33  352.5  3.4e-106 DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
* OKFPLJJI_00117      K01771  112.83  263.6   1.9e-79 1-phosphatidylinositol phosphodiesterase [EC:4.6.1.13]
* OKFPLJJI_00123      K02863   98.10  132.7   1.3e-39 large subunit ribosomal protein L1
* OKFPLJJI_00128      K02939   47.80   66.0   2.7e-19 large subunit ribosomal protein L9
* OKFPLJJI_00133      K01870  514.83  604.9  2.8e-182 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* OKFPLJJI_00141      K03046  542.03  996.4  2.2e-300 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
* OKFPLJJI_00142      K03043  365.63  892.4  3.4e-269 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* OKFPLJJI_00143      K02935   28.83   52.0   5.2e-15 large subunit ribosomal protein L7/L12
* OKFPLJJI_00144      K02864   56.00   77.4     1e-22 large subunit ribosomal protein L10
* OKFPLJJI_00153      K02887   55.13  161.1   2.4e-48 large subunit ribosomal protein L20
* OKFPLJJI_00156      K02913   23.47   28.6   9.8e-08 large subunit ribosomal protein L33
* OKFPLJJI_00158      K07488   43.87  115.8   1.6e-34 transposase
* OKFPLJJI_00161      K03151  132.87  393.0  1.6e-118 tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
* OKFPLJJI_00162      K02968   35.03   48.2     8e-14 small subunit ribosomal protein S20
* OKFPLJJI_00164      K00962  149.47  181.6   1.5e-54 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
