Gene_name,KO_annot
ELLNPJPG_00008,K02876 
ELLNPJPG_00010,K02881 
ELLNPJPG_00011,K02933 
ELLNPJPG_00012,K02994 
ELLNPJPG_00013,K02954 
ELLNPJPG_00017,K03687 
ELLNPJPG_00026,K00940 
ELLNPJPG_00030,K01883 
ELLNPJPG_00034,K03168 
ELLNPJPG_00050,K07334 
ELLNPJPG_00051,K21498 
ELLNPJPG_00064,K03070 
ELLNPJPG_00065,K06925 
ELLNPJPG_00067,K00554 
ELLNPJPG_00075,K00962 
ELLNPJPG_00077,K01866 
ELLNPJPG_00087,K01873 
ELLNPJPG_00102,K18626 
ELLNPJPG_00105,K04567 
ELLNPJPG_00106,K00571 
ELLNPJPG_00106,K06223 
ELLNPJPG_00108,K03652 
ELLNPJPG_00111,K03977 
ELLNPJPG_00128,K07171 
ELLNPJPG_00144,K07171 
ELLNPJPG_00157,K21498 
ELLNPJPG_00161,K03496 
ELLNPJPG_00178,K07171 
ELLNPJPG_00190,K21498 
ELLNPJPG_00210,K03657 
ELLNPJPG_00213,K02919 
ELLNPJPG_00214,K02952 
ELLNPJPG_00215,K02948 
ELLNPJPG_00217,K02879 
ELLNPJPG_00220,K02956 
ELLNPJPG_00257,K01870 
ELLNPJPG_00262,K01893 
ELLNPJPG_00279,K07494 
ELLNPJPG_00281,K03427 
ELLNPJPG_00281,K01154 
ELLNPJPG_00299,K01880 
ELLNPJPG_00301,K00945 
ELLNPJPG_00302,K03553 
ELLNPJPG_00305,K04075 
ELLNPJPG_00308,K03685 
ELLNPJPG_00313,K18682 
ELLNPJPG_00315,K02946 
ELLNPJPG_00317,K03151 
ELLNPJPG_00354,K00558 
ELLNPJPG_00377,K01409 
ELLNPJPG_00381,K07494 
ELLNPJPG_00385,K07584 
ELLNPJPG_00386,K02838 
ELLNPJPG_00390,K01872 
ELLNPJPG_00398,K12574 
ELLNPJPG_00401,K02986 
ELLNPJPG_00402,K03799 
ELLNPJPG_00403,K03763 
ELLNPJPG_00403,K02342 
ELLNPJPG_00408,K13993 
ELLNPJPG_00411,K07171 
ELLNPJPG_00413,K01426 
ELLNPJPG_00415,K02884 
ELLNPJPG_00421,K03763 
ELLNPJPG_00425,K21498 
ELLNPJPG_00446,K02909 
ELLNPJPG_00448,K03424 
ELLNPJPG_00451,K03703 
ELLNPJPG_00465,K03650 
ELLNPJPG_00477,K09769 
ELLNPJPG_00480,K07171 
ELLNPJPG_00497,K07494 
ELLNPJPG_00503,K07171 
ELLNPJPG_00508,K00566 
ELLNPJPG_00515,K01876 
ELLNPJPG_00516,K03495 
ELLNPJPG_00517,K03438 
ELLNPJPG_00519,K02913 
ELLNPJPG_00520,K02887 
ELLNPJPG_00521,K02992 
ELLNPJPG_00526,K02864 
ELLNPJPG_00527,K02935 
ELLNPJPG_00528,K03043 
ELLNPJPG_00529,K03046 
ELLNPJPG_00530,K01868 
ELLNPJPG_00531,K02520 
ELLNPJPG_00532,K02520 
ELLNPJPG_00534,K00384 
ELLNPJPG_00544,K02931 
ELLNPJPG_00548,K02874 
ELLNPJPG_00551,K02878 
ELLNPJPG_00552,K02982 
ELLNPJPG_00553,K02890 
ELLNPJPG_00554,K02965 
ELLNPJPG_00555,K02886 
ELLNPJPG_00556,K02892 
ELLNPJPG_00557,K02926 
ELLNPJPG_00562,K03702 
ELLNPJPG_00564,K07052 
ELLNPJPG_00565,K02863 
ELLNPJPG_00568,K02963 
ELLNPJPG_00570,K02939 
ELLNPJPG_00575,K01056 
ELLNPJPG_00579,K02916 
ELLNPJPG_00581,K02518 
ELLNPJPG_00582,K01265 
ELLNPJPG_00583,K02967 
ELLNPJPG_00593,K01875 
ELLNPJPG_00612,K01890 
ELLNPJPG_00614,K01887 
ELLNPJPG_00615,K10563 
ELLNPJPG_00617,K01972 
ELLNPJPG_00618,K02867 
ELLNPJPG_00620,K02959 
ELLNPJPG_00623,K02906 
ELLNPJPG_00624,K02899 
ELLNPJPG_00630,K02503 
ELLNPJPG_00632,K01881 
ELLNPJPG_00642,K02834 
ELLNPJPG_00643,K02519 
ELLNPJPG_00644,K02600 
ELLNPJPG_00648,K01869 
ELLNPJPG_00649,K07171 
ELLNPJPG_00654,K02434 
ELLNPJPG_00659,K02996 
ELLNPJPG_00660,K02871 
ELLNPJPG_00664,K01885 
ELLNPJPG_00666,K02914 
ELLNPJPG_00667,K03536 
ELLNPJPG_00669,K04564 
ELLNPJPG_00696,K08852 
ELLNPJPG_00711,K01874 
ELLNPJPG_00715,K03177 
ELLNPJPG_00717,K01255 
ELLNPJPG_00721,K01151 
ELLNPJPG_00723,K02888 
ELLNPJPG_00725,K01889 
ELLNPJPG_00728,K02355 
ELLNPJPG_00730,K02358 
ELLNPJPG_00731,K03664 
ELLNPJPG_00732,K03664 
ELLNPJPG_00733,K03470 
ELLNPJPG_00744,K01867 
ELLNPJPG_00745,K03648 
ELLNPJPG_00746,K02316 
ELLNPJPG_00748,K02950 
ELLNPJPG_00750,K01507 
ELLNPJPG_00758,K07171 
