# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* EGNFDAKC_00004      K03530  113.50  137.1   1.1e-41 DNA-binding protein HU-beta
* EGNFDAKC_00010      K03530  113.50  119.6   2.6e-36 DNA-binding protein HU-beta
* EGNFDAKC_00024      K07171   19.10   45.4   1.5e-13 mRNA interferase MazF [EC:3.1.-.-]
* EGNFDAKC_00028      K07171   19.10   63.5   4.6e-19 mRNA interferase MazF [EC:3.1.-.-]
* EGNFDAKC_00030      K07052   29.57   33.5   4.6e-10 uncharacterized protein
* EGNFDAKC_00033      K03702  324.07  865.9  9.1e-262 excinuclease ABC subunit B
* EGNFDAKC_00035      K03648   49.23  248.9   2.3e-75 uracil-DNA glycosylase [EC:3.2.2.27]
* EGNFDAKC_00041      K01867  137.80  305.3   1.8e-92 tryptophanyl-tRNA synthetase [EC:6.1.1.2]
* EGNFDAKC_00047      K01869  392.93  903.4    5e-273 leucyl-tRNA synthetase [EC:6.1.1.4]
* EGNFDAKC_00048      K21064  162.30  178.6   3.8e-54 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
* EGNFDAKC_00050      K02916   28.97   56.7   6.2e-17 large subunit ribosomal protein L35
* EGNFDAKC_00051      K02520   41.87  140.2   2.2e-42 translation initiation factor IF-3
* EGNFDAKC_00052      K01868  174.17  422.0  1.1e-127 threonyl-tRNA synthetase [EC:6.1.1.3]
* EGNFDAKC_00059      K02909   24.53   67.3   2.4e-20 large subunit ribosomal protein L31
* EGNFDAKC_00063      K03977  248.37  269.7   9.3e-82 GTPase
* EGNFDAKC_00065      K03979  157.53  416.1  4.5e-126 GTPase [EC:3.6.5.-]
* EGNFDAKC_00069      K02884   21.10   68.9   9.6e-21 large subunit ribosomal protein L19
* EGNFDAKC_00070      K01893  376.30  590.6  6.7e-179 asparaginyl-tRNA synthetase [EC:6.1.1.22]
* EGNFDAKC_00072      K03046  435.50 1031.3         0 DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
* EGNFDAKC_00073      K03043  641.50  955.3  9.2e-289 DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
* EGNFDAKC_00074      K02935   23.87   81.9   1.2e-24 large subunit ribosomal protein L7/L12
* EGNFDAKC_00075      K02864   52.27   79.4     6e-24 large subunit ribosomal protein L10
* EGNFDAKC_00076      K02863   91.17  168.0   5.8e-51 large subunit ribosomal protein L1
* EGNFDAKC_00077      K02867   73.03  124.5   1.2e-37 large subunit ribosomal protein L11
* EGNFDAKC_00078      K02867   73.03  124.5   1.2e-37 large subunit ribosomal protein L11
* EGNFDAKC_00080      K02996  109.00  188.3   4.6e-57 small subunit ribosomal protein S9
* EGNFDAKC_00081      K02871   76.33  154.8   6.6e-47 large subunit ribosomal protein L13
* EGNFDAKC_00084      K02879   35.17   99.7   4.9e-30 large subunit ribosomal protein L17
* EGNFDAKC_00085      K03040   54.23  152.7   2.3e-46 DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
* EGNFDAKC_00086      K02948   99.23  131.8   6.3e-40 small subunit ribosomal protein S11
* EGNFDAKC_00087      K02952  118.60  158.1   5.7e-48 small subunit ribosomal protein S13
* EGNFDAKC_00088      K02518   42.30   82.6   4.8e-25 translation initiation factor IF-1
* EGNFDAKC_00089      K01265  136.07  221.8   2.8e-67 methionyl aminopeptidase [EC:3.4.11.18]
* EGNFDAKC_00092      K02876   55.33  156.3   2.6e-47 large subunit ribosomal protein L15
* EGNFDAKC_00093      K02988  137.37  166.7   1.5e-50 small subunit ribosomal protein S5
* EGNFDAKC_00094      K02881   52.67   78.8     1e-23 large subunit ribosomal protein L18
* EGNFDAKC_00095      K02933  110.03  173.0   1.7e-52 large subunit ribosomal protein L6
* EGNFDAKC_00096      K02994   92.23  135.5   2.5e-41 small subunit ribosomal protein S8
* EGNFDAKC_00097      K02954   24.50   51.1   2.7e-15 small subunit ribosomal protein S14
* EGNFDAKC_00098      K02931  103.93  209.0   1.2e-63 large subunit ribosomal protein L5
* EGNFDAKC_00099      K02874  102.00  136.8   1.5e-41 large subunit ribosomal protein L14
* EGNFDAKC_00100      K02961   86.87   92.2     7e-28 small subunit ribosomal protein S17
