# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* JJHKIGFC_00009      K02906  123.00  224.8   1.5e-67 large subunit ribosomal protein L3
* JJHKIGFC_00011      K02926   76.47  201.1   2.1e-60 large subunit ribosomal protein L4
* JJHKIGFC_00012      K02892   55.07   58.9   4.3e-17 large subunit ribosomal protein L23
* JJHKIGFC_00015      K00962  149.47  634.2  2.4e-191 polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
* JJHKIGFC_00019      K03799  133.77  161.1   2.6e-48 heat shock protein HtpX [EC:3.4.24.-]
* JJHKIGFC_00021      K02834   27.27   33.8   1.4e-09 ribosome-binding factor A
* JJHKIGFC_00022      K02519  306.67  478.6  2.9e-144 translation initiation factor IF-2
* JJHKIGFC_00023      K02600   40.37  233.4     3e-70 transcription termination/antitermination protein NusA
* JJHKIGFC_00027      K06878  111.70  133.0   4.7e-40 tRNA-binding protein
* JJHKIGFC_00031      K03685  157.10  215.2   1.2e-64 ribonuclease III [EC:3.1.26.3]
* JJHKIGFC_00032      K06999  106.67  115.2   2.2e-34 phospholipase/carboxylesterase
* JJHKIGFC_00036      K02835  355.80  436.8  1.1e-131 peptide chain release factor 1
* JJHKIGFC_00038      K03070  152.83  719.5  4.3e-217 preprotein translocase subunit SecA [EC:7.4.2.8]
* JJHKIGFC_00039      K03979  160.43  450.6  5.6e-136 GTPase [EC:3.6.5.-]
* JJHKIGFC_00041      K01883  398.70  460.9  7.6e-139 cysteinyl-tRNA synthetase [EC:6.1.1.16]
* JJHKIGFC_00043      K03218  217.53  239.7   2.8e-72 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
* JJHKIGFC_00044      K03648   88.37  264.8   1.5e-79 uracil-DNA glycosylase [EC:3.2.2.27]
* JJHKIGFC_00106      K00558  160.57  269.3   2.6e-81 DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
* JJHKIGFC_00118      K00945   76.83  211.2   1.9e-63 CMP/dCMP kinase [EC:2.7.4.25]
* JJHKIGFC_00119      K12574  172.07  586.9  4.7e-177 ribonuclease J [EC:3.1.-.-]
* JJHKIGFC_00122      K01890  121.63  273.7   2.3e-82 phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]
* JJHKIGFC_00123      K03424   88.03  270.7   1.4e-81 TatD DNase family protein [EC:3.1.21.-]
* JJHKIGFC_00124      K06223   68.57  259.9   3.1e-78 DNA adenine methylase [EC:2.1.1.72]
* JJHKIGFC_00124      K01155   25.73   86.2   2.8e-25 type II restriction enzyme [EC:3.1.21.4]
* JJHKIGFC_00134      K02879   35.07  108.0   4.6e-32 large subunit ribosomal protein L17
* JJHKIGFC_00138      K04564   29.40  174.1   2.9e-52 superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
* JJHKIGFC_00141      K01151  122.83  304.3   7.5e-92 deoxyribonuclease IV [EC:3.1.21.2]
* JJHKIGFC_00144      K00943   98.17  135.3   1.6e-40 dTMP kinase [EC:2.7.4.9]
* JJHKIGFC_00145      K00943   98.17  161.9   1.4e-48 dTMP kinase [EC:2.7.4.9]
* JJHKIGFC_00145      K07766   88.53   99.4   1.5e-29 diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52]
* JJHKIGFC_00149      K09769   82.67  326.1   9.4e-99 uncharacterized protein
* JJHKIGFC_00151      K01870  514.83  572.8  1.2e-172 isoleucyl-tRNA synthetase [EC:6.1.1.5]
* JJHKIGFC_00153      K00554  127.83  290.6   1.3e-87 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]
* JJHKIGFC_00155      K01297   68.23  271.9   5.9e-82 muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]
* JJHKIGFC_00177      K02434  265.63  352.0  5.5e-106 aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]
* JJHKIGFC_00179      K07496   31.67   45.8   2.1e-13 putative transposase
* JJHKIGFC_00184      K03763  228.33  962.4  2.9e-290 DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
* JJHKIGFC_00184      K02342  108.03  117.0   5.6e-35 DNA polymerase III subunit epsilon [EC:2.7.7.7]
* JJHKIGFC_00185      K00384  339.83  375.7  2.8e-113 thioredoxin reductase (NADPH) [EC:1.8.1.9]
* JJHKIGFC_00189      K00600   55.33  582.3  8.9e-176 glycine hydroxymethyltransferase [EC:2.1.2.1]
* JJHKIGFC_00194      K02909   22.33   71.4   3.4e-21 large subunit ribosomal protein L31
* JJHKIGFC_00195      K02358  348.87  752.3    6e-227 elongation factor Tu
* JJHKIGFC_00199      K00566  428.00  484.4  1.6e-146 tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]
* JJHKIGFC_00201      K06925   47.07  115.8   1.6e-34 tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
* JJHKIGFC_00205      K03702  143.73  959.7  1.9e-289 excinuclease ABC subunit B
* JJHKIGFC_00208      K02911   21.47   39.3   4.1e-11 large subunit ribosomal protein L32
* JJHKIGFC_00210      K03664   28.77  132.5   1.2e-39 SsrA-binding protein
* JJHKIGFC_00211      K02887   55.13  157.1   3.6e-47 large subunit ribosomal protein L20
* JJHKIGFC_00215      K02996  107.43  168.3   1.7e-50 small subunit ribosomal protein S9
* JJHKIGFC_00218      K02899   49.63  103.1   1.1e-30 large subunit ribosomal protein L27
* JJHKIGFC_00219      K02967  138.30  250.4   1.6e-75 small subunit ribosomal protein S2
* JJHKIGFC_00235      K18682  118.43  475.7  1.1e-143 ribonucrease Y [EC:3.1.-.-]
* JJHKIGFC_00237      K02946   65.63   81.3   4.6e-24 small subunit ribosomal protein S10
* JJHKIGFC_00245      K02956   32.03   63.7   1.3e-18 small subunit ribosomal protein S15
* JJHKIGFC_00246      K02968   35.03   71.2   6.8e-21 small subunit ribosomal protein S20
* JJHKIGFC_00255      K07171   19.37   38.8   5.2e-11 mRNA interferase MazF [EC:3.1.-.-]
